t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
22,Caphorn,4,blade,LeafElement1,0,0
22,Caphorn,4,internode,StemElement,0,0
22,Caphorn,4,sheath,StemElement,0,0
22,Caphorn,5,internode,StemElement,0,0
22,Caphorn,6,internode,StemElement,0,0
23,Caphorn,1,blade,LeafElement1,0,0
23,Caphorn,1,sheath,StemElement,0,0
23,Caphorn,2,blade,LeafElement1,0,0
23,Caphorn,2,sheath,StemElement,0,0
23,Caphorn,3,blade,LeafElement1,0,0
23,Caphorn,3,sheath,StemElement,0,0
23,Caphorn,4,blade,LeafElement1,0,0
23,Caphorn,4,internode,StemElement,0,0
23,Caphorn,4,sheath,StemElement,0,0
23,Caphorn,5,internode,StemElement,0,0
23,Caphorn,6,internode,StemElement,0,0
24,Caphorn,1,blade,LeafElement1,0,0
24,Caphorn,1,sheath,StemElement,0,0
24,Caphorn,2,blade,LeafElement1,0,0
24,Caphorn,2,sheath,StemElement,0,0
24,Caphorn,3,blade,LeafElement1,0,0
24,Caphorn,3,sheath,StemElement,0,0
24,Caphorn,4,blade,LeafElement1,0,0
24,Caphorn,4,internode,StemElement,0,0
24,Caphorn,4,sheath,StemElement,0,0
24,Caphorn,5,internode,StemElement,0,0
24,Caphorn,6,internode,StemElement,0,0
25,Caphorn,1,blade,LeafElement1,0,0
25,Caphorn,1,sheath,StemElement,0,0
25,Caphorn,2,blade,LeafElement1,0,0
25,Caphorn,2,sheath,StemElement,0,0
25,Caphorn,3,blade,LeafElement1,0,0
25,Caphorn,3,sheath,StemElement,0,0
25,Caphorn,4,blade,LeafElement1,0,0
25,Caphorn,4,internode,StemElement,0,0
25,Caphorn,4,sheath,StemElement,0,0
25,Caphorn,5,internode,StemElement,0,0
25,Caphorn,6,internode,StemElement,0,0
26,Caphorn,1,blade,LeafElement1,0,0
26,Caphorn,1,sheath,StemElement,0,0
26,Caphorn,2,blade,LeafElement1,0,0
26,Caphorn,2,sheath,StemElement,0,0
26,Caphorn,3,blade,LeafElement1,0,0
26,Caphorn,3,sheath,StemElement,0,0
26,Caphorn,4,blade,LeafElement1,0,0
26,Caphorn,4,internode,StemElement,0,0
26,Caphorn,4,sheath,StemElement,0,0
26,Caphorn,5,internode,StemElement,0,0
26,Caphorn,6,internode,StemElement,0,0
27,Caphorn,1,blade,LeafElement1,0,0
27,Caphorn,1,sheath,StemElement,0,0
27,Caphorn,2,blade,LeafElement1,0,0
27,Caphorn,2,sheath,StemElement,0,0
27,Caphorn,3,blade,LeafElement1,0,0
27,Caphorn,3,sheath,StemElement,0,0
27,Caphorn,4,blade,LeafElement1,0,0
27,Caphorn,4,internode,StemElement,0,0
27,Caphorn,4,sheath,StemElement,0,0
27,Caphorn,5,internode,StemElement,0,0
27,Caphorn,6,internode,StemElement,0,0
28,Caphorn,1,blade,LeafElement1,0,0
28,Caphorn,1,sheath,StemElement,0,0
28,Caphorn,2,blade,LeafElement1,0,0
28,Caphorn,2,sheath,StemElement,0,0
28,Caphorn,3,blade,LeafElement1,0,0
28,Caphorn,3,sheath,StemElement,0,0
28,Caphorn,4,blade,LeafElement1,0,0
28,Caphorn,4,internode,StemElement,0,0
28,Caphorn,4,sheath,StemElement,0,0
28,Caphorn,5,internode,StemElement,0,0
28,Caphorn,6,internode,StemElement,0,0
29,Caphorn,1,blade,LeafElement1,0,0.022642131
29,Caphorn,1,sheath,StemElement,0,0.008910641
29,Caphorn,2,blade,LeafElement1,0,0.035708622
29,Caphorn,2,sheath,StemElement,0,0.005902924
29,Caphorn,3,blade,LeafElement1,0,0.080712959
29,Caphorn,3,sheath,StemElement,0,0.01376764
29,Caphorn,4,blade,LeafElement1,0.11271448,0.208250174
29,Caphorn,4,internode,StemElement,0,0.018920701
29,Caphorn,4,sheath,StemElement,0,0.044137882
29,Caphorn,5,internode,StemElement,0,0.062759876
29,Caphorn,6,internode,StemElement,0.443911852,0.181507719
30,Caphorn,1,blade,LeafElement1,0,0.022642131
30,Caphorn,1,sheath,StemElement,0,0.008910641
30,Caphorn,2,blade,LeafElement1,0,0.035708622
30,Caphorn,2,sheath,StemElement,0,0.005902924
30,Caphorn,3,blade,LeafElement1,0.000164652,0.080712959
30,Caphorn,3,sheath,StemElement,0,0.01376764
30,Caphorn,4,blade,LeafElement1,0.167778309,0.208250174
30,Caphorn,4,internode,StemElement,0,0.018920701
30,Caphorn,4,sheath,StemElement,0.002261646,0.044137882
30,Caphorn,5,internode,StemElement,0.009059494,0.062759876
30,Caphorn,6,internode,StemElement,0.390460756,0.181507719
31,Caphorn,1,blade,LeafElement1,0,0.022642131
31,Caphorn,1,sheath,StemElement,0.000221277,0.008910641
31,Caphorn,2,blade,LeafElement1,0.001596033,0.035708622
31,Caphorn,2,sheath,StemElement,0,0.005902924
31,Caphorn,3,blade,LeafElement1,0.020432952,0.080712959
31,Caphorn,3,sheath,StemElement,0.001932056,0.01376764
31,Caphorn,4,blade,LeafElement1,0.189071076,0.208250174
31,Caphorn,4,internode,StemElement,0.002848664,0.018920701
31,Caphorn,4,sheath,StemElement,0.018394815,0.044137882
31,Caphorn,5,internode,StemElement,0.053095495,0.062759876
31,Caphorn,6,internode,StemElement,0.338495597,0.181507719
32,Caphorn,1,blade,LeafElement1,0.000886487,0.022642131
32,Caphorn,1,sheath,StemElement,0.000664038,0.008910641
32,Caphorn,2,blade,LeafElement1,0.007807068,0.035708622
32,Caphorn,2,sheath,StemElement,0.000440961,0.005902924
32,Caphorn,3,blade,LeafElement1,0.042168173,0.080712959
32,Caphorn,3,sheath,StemElement,0.004802703,0.01376764
32,Caphorn,4,blade,LeafElement1,0.217255245,0.208250174
32,Caphorn,4,internode,StemElement,0.020104854,0.018920701
32,Caphorn,4,sheath,StemElement,0.030932364,0.044137882
32,Caphorn,5,internode,StemElement,0.102291031,0.062759876
32,Caphorn,6,internode,StemElement,0.274626815,0.181507719
33,Caphorn,1,blade,LeafElement1,0.020326391,0.022642131
33,Caphorn,1,sheath,StemElement,0.003873002,0.008910641
33,Caphorn,2,blade,LeafElement1,0.053676169,0.035708622
33,Caphorn,2,sheath,StemElement,0.019579416,0.005902924
33,Caphorn,3,blade,LeafElement1,0.062250639,0.080712959
33,Caphorn,3,sheath,StemElement,0.019686817,0.01376764
33,Caphorn,4,blade,LeafElement1,0.222212427,0.208250174
33,Caphorn,4,internode,StemElement,0.014234825,0.018920701
33,Caphorn,4,sheath,StemElement,0.043481061,0.044137882
33,Caphorn,5,internode,StemElement,0.097138129,0.062759876
33,Caphorn,6,internode,StemElement,0.194901906,0.181507719
34,Caphorn,1,blade,LeafElement1,0.027398471,0.022642131
34,Caphorn,1,sheath,StemElement,0.01698485,0.008910641
34,Caphorn,2,blade,LeafElement1,0.032930978,0.035708622
34,Caphorn,2,sheath,StemElement,0.007837422,0.005902924
34,Caphorn,3,blade,LeafElement1,0.114379299,0.080712959
34,Caphorn,3,sheath,StemElement,0.031947629,0.01376764
34,Caphorn,4,blade,LeafElement1,0.193375201,0.208250174
34,Caphorn,4,internode,StemElement,0.021912439,0.018920701
34,Caphorn,4,sheath,StemElement,0.066423491,0.044137882
34,Caphorn,5,internode,StemElement,0.092085186,0.062759876
34,Caphorn,6,internode,StemElement,0.149243465,0.181507719
35,Caphorn,1,blade,LeafElement1,0.037967844,0.022642131
35,Caphorn,1,sheath,StemElement,0.011246823,0.008910641
35,Caphorn,2,blade,LeafElement1,0.060646266,0.035708622
