t,species,metamer,organ,Eabs_diffuse,Eabs_direct,plant
21,Caphorn,5,internode,0.0,0.0,1
21,Caphorn,6,internode,0.0,0.0,1
21,Soissons,1,blade,0.0,0.0,2
21,Soissons,1,sheath,0.0,0.0,2
21,Soissons,2,blade,0.0,0.0,2
21,Soissons,2,sheath,0.0,0.0,2
21,Soissons,3,blade,0.0,0.0,2
21,Soissons,3,sheath,0.0,0.0,2
21,Soissons,4,blade,0.0,0.0,2
21,Soissons,4,internode,0.0,0.0,2
21,Soissons,4,sheath,0.0,0.0,2
21,Soissons,5,internode,0.0,0.0,2
21,Soissons,6,internode,0.0,0.0,2
22,Caphorn,1,blade,0.0,0.0,1
22,Caphorn,1,sheath,0.0,0.0,1
22,Caphorn,2,blade,0.0,0.0,1
22,Caphorn,2,sheath,0.0,0.0,1
22,Caphorn,3,blade,0.0,0.0,1
22,Caphorn,3,sheath,0.0,0.0,1
22,Caphorn,4,blade,0.0,0.0,1
22,Caphorn,4,internode,0.0,0.0,1
22,Caphorn,4,sheath,0.0,0.0,1
22,Caphorn,5,internode,0.0,0.0,1
22,Caphorn,6,internode,0.0,0.0,1
22,Soissons,1,blade,0.0,0.0,2
22,Soissons,1,sheath,0.0,0.0,2
22,Soissons,2,blade,0.0,0.0,2
22,Soissons,2,sheath,0.0,0.0,2
22,Soissons,3,blade,0.0,0.0,2
22,Soissons,3,sheath,0.0,0.0,2
22,Soissons,4,blade,0.0,0.0,2
22,Soissons,4,internode,0.0,0.0,2
22,Soissons,4,sheath,0.0,0.0,2
22,Soissons,5,internode,0.0,0.0,2
22,Soissons,6,internode,0.0,0.0,2
