t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
37,Soissons,2,blade,LeafElement1,0.00501351,0.001402713
37,Soissons,2,sheath,StemElement,0.000937025,0
37,Soissons,3,blade,LeafElement1,0.025105718,0.0120609
37,Soissons,3,sheath,StemElement,0.004164408,0.000170922
37,Soissons,4,blade,LeafElement1,0.171590866,0.138217677
37,Soissons,4,internode,StemElement,0.002574717,0.000438254
37,Soissons,4,sheath,StemElement,0.007154958,0.004984751
37,Soissons,5,internode,StemElement,0.039477796,0.047219619
37,Soissons,6,internode,StemElement,0.085722292,0.131138906
38,Soissons,1,blade,LeafElement1,2.20E-05,0.000273246
38,Soissons,1,sheath,StemElement,0,5.53E-05
38,Soissons,2,blade,LeafElement1,0.002331153,0.001402713
38,Soissons,2,sheath,StemElement,0,0
38,Soissons,3,blade,LeafElement1,0.007937012,0.0120609
38,Soissons,3,sheath,StemElement,0.000441605,0.000170922
38,Soissons,4,blade,LeafElement1,0.154521235,0.138217677
38,Soissons,4,internode,StemElement,0,0.000438254
38,Soissons,4,sheath,StemElement,0.007266434,0.004984751
38,Soissons,5,internode,StemElement,0.074837933,0.047219619
38,Soissons,6,internode,StemElement,0.115284162,0.131138906
39,Soissons,1,blade,LeafElement1,9.11E-05,0.000273246
39,Soissons,1,sheath,StemElement,0,5.53E-05
39,Soissons,2,blade,LeafElement1,0.000281564,0.001402713
39,Soissons,2,sheath,StemElement,0,0
39,Soissons,3,blade,LeafElement1,0.004427579,0.0120609
39,Soissons,3,sheath,StemElement,0.000165583,0.000170922
39,Soissons,4,blade,LeafElement1,0.124755814,0.138217677
39,Soissons,4,internode,StemElement,0,0.000438254
39,Soissons,4,sheath,StemElement,0.003365069,0.004984751
39,Soissons,5,internode,StemElement,0.051942292,0.047219619
39,Soissons,6,internode,StemElement,0.150249109,0.131138906
40,Soissons,1,blade,LeafElement1,0.000920931,0.000273246
40,Soissons,1,sheath,StemElement,0,5.53E-05
