t,plant,axis,Conc_Nitrates_Soil,Tsoil,nitrates,volume
730,1,MS,0.47279087432690825,15.0,0.47279087432690825,1.0
731,1,MS,0.473911448999576,15.0,0.473911448999576,1.0
732,1,MS,0.4752900218842674,15.0,0.4752900218842674,1.0
733,1,MS,0.47635615258170627,15.0,0.47635615258170627,1.0
734,1,MS,0.4776080062437417,15.0,0.4776080062437417,1.0
735,1,MS,0.4784823154062522,15.0,0.4784823154062522,1.0
736,1,MS,0.4795091275413622,15.0,0.4795091275413622,1.0
737,1,MS,0.48013591849172654,15.0,0.48013591849172654,1.0
738,1,MS,0.4809353040226327,15.0,0.4809353040226327,1.0
739,1,MS,0.4813644766195052,15.0,0.4813644766195052,1.0
740,1,MS,0.4820257249795825,15.0,0.4820257249795825,1.0
741,1,MS,0.48237818379271036,15.0,0.48237818379271036,1.0
742,1,MS,0.4830325497575544,15.0,0.4830325497575544,1.0
743,1,MS,0.4834455612086164,15.0,0.4834455612086164,1.0
744,1,MS,0.48422094710692226,15.0,0.48422094710692226,1.0
745,1,MS,0.4848182323654604,15.0,0.4848182323654604,1.0
746,1,MS,0.4858224478473425,15.0,0.4858224478473425,1.0
747,1,MS,0.486697203509345,15.0,0.486697203509345,1.0
748,1,MS,0.48800174125316487,15.0,0.48800174125316487,1.0
749,1,MS,0.48920846084068503,15.0,0.48920846084068503,1.0
750,1,MS,0.4908465257592057,15.0,0.4908465257592057,1.0
751,1,MS,0.49239502829916,15.0,0.49239502829916,1.0
752,1,MS,0.4943404848548344,15.0,0.4943404848548344,1.0
753,1,MS,0.49615711308898636,15.0,0.49615711308898636,1.0
754,1,MS,0.49829207176829066,15.0,0.49829207176829066,1.0
755,1,MS,0.5002172624105767,15.0,0.5002172624105767,1.0
756,1,MS,0.5023690312445905,15.0,0.5023690312445905,1.0
757,1,MS,0.5042256851804401,15.0,0.5042256851804401,1.0
758,1,MS,0.5062375469513614,15.0,0.5062375469513614,1.0
759,1,MS,0.5078835357001275,15.0,0.5078835357001275,1.0
760,1,MS,0.5096469478373641,15.0,0.5096469478373641,1.0
761,1,MS,0.5110144030688826,15.0,0.5110144030688826,1.0
762,1,MS,0.5125127360403969,15.0,0.5125127360403969,1.0
763,1,MS,0.5136335343568477,15.0,0.5136335343568477,1.0
764,1,MS,0.5149436992698226,15.0,0.5149436992698226,1.0
765,1,MS,0.5159409767608211,15.0,0.5159409767608211,1.0
766,1,MS,0.5172098121552714,15.0,0.5172098121552714,1.0
767,1,MS,0.5182443196924607,15.0,0.5182443196924607,1.0
768,1,MS,0.5196207486301054,15.0,0.5196207486301054,1.0
769,1,MS,0.5208300963572874,15.0,0.5208300963572874,1.0
770,1,MS,0.5224258589512918,15.0,0.5224258589512918,1.0
771,1,MS,0.5239004067219624,15.0,0.5239004067219624,1.0
772,1,MS,0.5257796914684847,15.0,0.5257796914684847,1.0
773,1,MS,0.5275661943661729,15.0,0.5275661943661729,1.0
774,1,MS,0.5297557682520816,15.0,0.5297557682520816,1.0
775,1,MS,0.5318568745001618,15.0,0.5318568745001618,1.0
776,1,MS,0.5343239754108133,15.0,0.5343239754108133,1.0
777,1,MS,0.5366634415274626,15.0,0.5366634415274626,1.0
778,1,MS,0.5392945999265474,15.0,0.5392945999265474,1.0
779,1,MS,0.5417254454508592,15.0,0.5417254454508592,1.0
780,1,MS,0.544365961232202,15.0,0.544365961232202,1.0
781,1,MS,0.5467298401915803,15.0,0.5467298401915803,1.0
782,1,MS,0.5492465797572015,15.0,0.5492465797572015,1.0
783,1,MS,0.5514327891427616,15.0,0.5514327891427616,1.0
784,1,MS,0.5537421783260241,15.0,0.5537421783260241,1.0
785,1,MS,0.5556898481297711,15.0,0.5556898481297711,1.0
786,1,MS,0.5577634680903241,15.0,0.5577634680903241,1.0
787,1,MS,0.5594814592356275,15.0,0.5594814592356275,1.0
788,1,MS,0.5613735469951718,15.0,0.5613735469951718,1.0
789,1,MS,0.5629666041659213,15.0,0.5629666041659213,1.0
790,1,MS,0.564813158306231,15.0,0.564813158306231,1.0
791,1,MS,0.5664381409247393,15.0,0.5664381409247393,1.0
792,1,MS,0.5683865071802258,15.0,0.5683865071802258,1.0
793,1,MS,0.5701798223594914,15.0,0.5701798223594914,1.0
794,1,MS,0.572339472986852,15.0,0.572339472986852,1.0
795,1,MS,0.5743897995682281,15.0,0.5743897995682281,1.0
796,1,MS,0.5768226049207767,15.0,0.5768226049207767,1.0
797,1,MS,0.5791699470934983,15.0,0.5791699470934983,1.0
798,1,MS,0.5818932411944041,15.0,0.5818932411944041,1.0
799,1,MS,0.5845383279619608,15.0,0.5845383279619608,1.0
800,1,MS,0.5875364390713476,15.0,0.5875364390713476,1.0
801,1,MS,0.590446972281681,15.0,0.590446972281681,1.0
802,1,MS,0.5936722595709124,15.0,0.5936722595709124,1.0
803,1,MS,0.5967796051585469,15.0,0.5967796051585469,1.0
804,1,MS,0.6001486499638489,15.0,0.6001486499638489,1.0
805,1,MS,0.6033494199224226,15.0,0.6033494199224226,1.0
806,1,MS,0.6067437069643472,15.0,0.6067437069643472,1.0
807,1,MS,0.6099032235584227,15.0,0.6099032235584227,1.0
808,1,MS,0.6132086650906204,15.0,0.6132086650906204,1.0
809,1,MS,0.6162416016122486,15.0,0.6162416016122486,1.0
810,1,MS,0.6194055106949394,15.0,0.6194055106949394,1.0
811,1,MS,0.6222870161970313,15.0,0.6222870161970313,1.0
812,1,MS,0.6253314566366377,15.0,0.6253314566366377,1.0
813,1,MS,0.628141253598619,15.0,0.628141253598619,1.0
814,1,MS,0.6311798424783803,15.0,0.6311798424783803,1.0
815,1,MS,0.6340481743908485,15.0,0.6340481743908485,1.0
816,1,MS,0.6371974557116894,15.0,0.6371974557116894,1.0
817,1,MS,0.64022661896668,15.0,0.64022661896668,1.0
818,1,MS,0.6435641919966,15.0,0.6435641919966,1.0
819,1,MS,0.6468144212904933,15.0,0.6468144212904933,1.0
820,1,MS,0.6503797192571076,15.0,0.6503797192571076,1.0
821,1,MS,0.6538755552850779,15.0,0.6538755552850779,1.0
822,1,MS,0.6576777087365875,15.0,0.6576777087365875,1.0
823,1,MS,0.6614114273070238,15.0,0.6614114273070238,1.0
824,1,MS,0.6654154786687209,15.0,0.6654154786687209,1.0
825,1,MS,0.669312613002576,15.0,0.669312613002576,1.0
826,1,MS,0.6734105711348515,15.0,0.6734105711348515,1.0
827,1,MS,0.6773300342799934,15.0,0.6773300342799934,1.0
828,1,MS,0.6813723385633127,15.0,0.6813723385633127,1.0
829,1,MS,0.6851535615885166,15.0,0.6851535615885166,1.0
830,1,MS,0.6889995476686046,15.0,0.6889995476686046,1.0
831,1,MS,0.6925287314650105,15.0,0.6925287314650105,1.0
832,1,MS,0.6961046759289641,15.0,0.6961046759289641,1.0
833,1,MS,0.6993354329341421,15.0,0.6993354329341421,1.0
834,1,MS,0.7026298117535137,15.0,0.7026298117535137,1.0
835,1,MS,0.7055975151965045,15.0,0.7055975151965045,1.0
836,1,MS,0.7086972262693259,15.0,0.7086972262693259,1.0
837,1,MS,0.7115413918508624,15.0,0.7115413918508624,1.0
838,1,MS,0.7146089564821718,15.0,0.7146089564821718,1.0
839,1,MS,0.7175063733568149,15.0,0.7175063733568149,1.0
840,1,MS,0.7206947504137443,15.0,0.7206947504137443,1.0
841,1,MS,0.7237726619028972,15.0,0.7237726619028972,1.0
842,1,MS,0.727170749006582,15.0,0.727170749006582,1.0
843,1,MS,0.730491569927234,15.0,0.730491569927234,1.0
844,1,MS,0.7341365431062256,15.0,0.7341365431062256,1.0
845,1,MS,0.7377241728488203,15.0,0.7377241728488203,1.0
846,1,MS,0.7416281367846698,15.0,0.7416281367846698,1.0
847,1,MS,0.74548191899832,15.0,0.74548191899832,1.0
848,1,MS,0.7496239471421606,15.0,0.7496239471421606,1.0
849,1,MS,0.7536938273994818,15.0,0.7536938273994818,1.0
850,1,MS,0.7579957071276446,15.0,0.7579957071276446,1.0
851,1,MS,0.7621695213594016,15.0,0.7621695213594016,1.0
852,1,MS,0.7664982864281349,15.0,0.7664982864281349,1.0
853,1,MS,0.7706210986776981,15.0,0.7706210986776981,1.0
854,1,MS,0.7748330250196265,15.0,0.7748330250196265,1.0
855,1,MS,0.7787760449711083,15.0,0.7787760449711083,1.0
856,1,MS,0.7827772406224591,15.0,0.7827772406224591,1.0
857,1,MS,0.7864773870586662,15.0,0.7864773870586662,1.0
858,1,MS,0.7902479661765124,15.0,0.7902479661765124,1.0
859,1,MS,0.7937338595590138,15.0,0.7937338595590138,1.0
860,1,MS,0.7973506543914711,15.0,0.7973506543914711,1.0
861,1,MS,0.800746934561554,15.0,0.800746934561554,1.0
862,1,MS,0.8043547304827946,15.0,0.8043547304827946,1.0
863,1,MS,0.8078167781911261,15.0,0.8078167781911261,1.0
864,1,MS,0.8115463798446529,15.0,0.8115463798446529,1.0
865,1,MS,0.8151816728566348,15.0,0.8151816728566348,1.0
866,1,MS,0.819107391557163,15.0,0.819107391557163,1.0
867,1,MS,0.822968504733691,15.0,0.822968504733691,1.0
868,1,MS,0.8271219584434236,15.0,0.8271219584434236,1.0
869,1,MS,0.8312276872640846,15.0,0.8312276872640846,1.0
870,1,MS,0.8356148649225655,15.0,0.8356148649225655,1.0
871,1,MS,0.8399553488507547,15.0,0.8399553488507547,1.0
872,1,MS,0.8445411809007632,15.0,0.8445411809007632,1.0
873,1,MS,0.8490492368811954,15.0,0.8490492368811954,1.0
874,1,MS,0.8537493298324653,15.0,0.8537493298324653,1.0
875,1,MS,0.8583267636109311,15.0,0.8583267636109311,1.0
876,1,MS,0.8630429069488771,15.0,0.8630429069488771,1.0
877,1,MS,0.8675835598550727,15.0,0.8675835598550727,1.0
878,1,MS,0.872214518286419,15.0,0.872214518286419,1.0
879,1,MS,0.8766179232561232,15.0,0.8766179232561232,1.0
880,1,MS,0.8810837787433649,15.0,0.8810837787433649,1.0
881,1,MS,0.8853002047299261,15.0,0.8853002047299261,1.0
882,1,MS,0.8896037413710279,15.0,0.8896037413710279,1.0
883,1,MS,0.8936920667912778,15.0,0.8936920667912778,1.0
884,1,MS,0.8979305694502367,15.0,0.8979305694502367,1.0
885,1,MS,0.9020159625619332,15.0,0.9020159625619332,1.0
886,1,MS,0.9063109040597781,15.0,0.9063109040597781,1.0
887,1,MS,0.9105076499558136,15.0,0.9105076499558136,1.0
888,1,MS,0.9149459104596699,15.0,0.9149459104596699,1.0
889,1,MS,0.9193194043226274,15.0,0.9193194043226274,1.0
890,1,MS,0.9239425999918016,15.0,0.9239425999918016,1.0
891,1,MS,0.9285208655066489,15.0,0.9285208655066489,1.0
892,1,MS,0.9333443233182638,15.0,0.9333443233182638,1.0
893,1,MS,0.9381329816143026,15.0,0.9381329816143026,1.0
894,1,MS,0.9431514353918456,15.0,0.9431514353918456,1.0
895,1,MS,0.94812822775346,15.0,0.94812822775346,1.0
896,1,MS,0.9532916354973552,15.0,0.9532916354973552,1.0
897,1,MS,0.9583683665003532,15.0,0.9583683665003532,1.0
898,1,MS,0.9635688808804201,15.0,0.9635688808804201,1.0
899,1,MS,0.9686242392213824,15.0,0.9686242392213824,1.0
900,1,MS,0.9737535503761909,15.0,0.9737535503761909,1.0
901,1,MS,0.9786657411706927,15.0,0.9786657411706927,1.0
902,1,MS,0.9834956382660928,15.0,0.9834956382660928,1.0
903,1,MS,0.9878415309527505,15.0,0.9878415309527505,1.0
904,1,MS,0.9919168753125953,15.0,0.9919168753125953,1.0
905,1,MS,0.9953014728601373,15.0,0.9953014728601373,1.0
906,1,MS,0.9983550959874581,15.0,0.9983550959874581,1.0
907,1,MS,1.000606062209562,15.0,1.000606062209562,1.0
908,1,MS,1.002539293873745,15.0,1.002539293873745,1.0
909,1,MS,1.0036047752134625,15.0,1.0036047752134625,1.0
910,1,MS,1.00441384486636,15.0,1.00441384486636,1.0
911,1,MS,1.0043476442321784,15.0,1.0043476442321784,1.0
912,1,MS,1.0041187721076252,15.0,1.0041187721076252,1.0
913,1,MS,1.0030353120492868,15.0,1.0030353120492868,1.0
914,1,MS,1.0018883086708419,15.0,1.0018883086708419,1.0
915,1,MS,0.9999206215259624,15.0,0.9999206215259624,1.0
916,1,MS,0.9979820719203382,15.0,0.9979820719203382,1.0
917,1,MS,0.995257587579835,15.0,0.995257587579835,1.0
918,1,MS,0.9926445887017957,15.0,0.9926445887017957,1.0
919,1,MS,0.9892792292163878,15.0,0.9892792292163878,1.0
920,1,MS,0.9860842848951643,15.0,0.9860842848951643,1.0
921,1,MS,0.9821440155920987,15.0,0.9821440155920987,1.0
922,1,MS,0.978396734949191,15.0,0.978396734949191,1.0
923,1,MS,0.9738773829189533,15.0,0.9738773829189533,1.0
924,1,MS,0.9695384595112722,15.0,0.9695384595112722,1.0
925,1,MS,0.9643753333787879,15.0,0.9643753333787879,1.0
926,1,MS,0.9593768032209748,15.0,0.9593768032209748,1.0
927,1,MS,0.9535117504353416,15.0,0.9535117504353416,1.0
928,1,MS,0.9478040739825265,15.0,0.9478040739825265,1.0
929,1,MS,0.9411959821089303,15.0,0.9411959821089303,1.0
930,1,MS,0.9347533340887708,15.0,0.9347533340887708,1.0
931,1,MS,0.9274005210528233,15.0,0.9274005210528233,1.0
932,1,MS,0.9202484278629294,15.0,0.9202484278629294,1.0
933,1,MS,0.912211290779288,15.0,0.912211290779288,1.0
934,1,MS,0.904433810490623,15.0,0.904433810490623,1.0
935,1,MS,0.8958199762371902,15.0,0.8958199762371902,1.0
936,1,MS,0.8875329727846053,15.0,0.8875329727846053,1.0
937,1,MS,0.8784674472899735,15.0,0.8784674472899735,1.0
938,1,MS,0.8697931859193032,15.0,0.8697931859193032,1.0
939,1,MS,0.8603999776478848,15.0,0.8603999776478848,1.0
940,1,MS,0.8514547223377619,15.0,0.8514547223377619,1.0
941,1,MS,0.8418462873848543,15.0,0.8418462873848543,1.0
942,1,MS,0.8327345499637865,15.0,0.8327345499637865,1.0
943,1,MS,0.8230119885580827,15.0,0.8230119885580827,1.0
944,1,MS,0.8138197627298944,15.0,0.8138197627298944,1.0
945,1,MS,0.8040511885847635,15.0,0.8040511885847635,1.0
946,1,MS,0.794825120599415,15.0,0.794825120599415,1.0
947,1,MS,0.7850417044901885,15.0,0.7850417044901885,1.0
948,1,MS,0.7758018826211339,15.0,0.7758018826211339,1.0
949,1,MS,0.7660176600337607,15.0,0.7660176600337607,1.0
950,1,MS,0.756770560285905,15.0,0.756770560285905,1.0
951,1,MS,0.7469847050999106,15.0,0.7469847050999106,1.0
952,1,MS,0.7377243610826602,15.0,0.7377243610826602,1.0
953,1,MS,0.7279311642149102,15.0,0.7279311642149102,1.0
954,1,MS,0.7186575424631354,15.0,0.7186575424631354,1.0
955,1,MS,0.7088669490481139,15.0,0.7088669490481139,1.0
956,1,MS,0.699599599747358,15.0,0.699599599747358,1.0
957,1,MS,0.6898412730583637,15.0,0.6898412730583637,1.0
958,1,MS,0.6806183004243116,15.0,0.6806183004243116,1.0
959,1,MS,0.6709385961717791,15.0,0.6709385961717791,1.0
960,1,MS,0.6618099709905098,15.0,0.6618099709905098,1.0
961,1,MS,0.6522609281925038,15.0,0.6522609281925038,1.0
962,1,MS,0.643276739399089,15.0,0.643276739399089,1.0
963,1,MS,0.6339056873299012,15.0,0.6339056873299012,1.0
964,1,MS,0.6251103870464104,15.0,0.6251103870464104,1.0
965,1,MS,0.6159608532044043,15.0,0.6159608532044043,1.0
966,1,MS,0.6073949925200907,15.0,0.6073949925200907,1.0
967,1,MS,0.5985028231320378,15.0,0.5985028231320378,1.0
968,1,MS,0.5901943340994784,15.0,0.5901943340994784,1.0
969,1,MS,0.5815767984249521,15.0,0.5815767984249521,1.0
970,1,MS,0.5735309670543859,15.0,0.5735309670543859,1.0
971,1,MS,0.565181335620008,15.0,0.565181335620008,1.0
972,1,MS,0.5573818854464793,15.0,0.5573818854464793,1.0
973,1,MS,0.5492764991142413,15.0,0.5492764991142413,1.0
974,1,MS,0.5416963902256521,15.0,0.5416963902256521,1.0
975,1,MS,0.5338069039953445,15.0,0.5338069039953445,1.0
976,1,MS,0.5264196786029476,15.0,0.5264196786029476,1.0
977,1,MS,0.5187225659585095,15.0,0.5187225659585095,1.0
978,1,MS,0.511509560363492,15.0,0.511509560363492,1.0
979,1,MS,0.5039917626803879,15.0,0.5039917626803879,1.0
980,1,MS,0.49694733677679315,15.0,0.49694733677679315,1.0
981,1,MS,0.48961098633300765,15.0,0.48961098633300765,1.0
982,1,MS,0.4827447776354796,15.0,0.4827447776354796,1.0
983,1,MS,0.4756053477459245,15.0,0.4756053477459245,1.0
984,1,MS,0.46893628505704515,15.0,0.46893628505704515,1.0
985,1,MS,0.4620139722348524,15.0,0.4620139722348524,1.0
986,1,MS,0.4555618128452316,15.0,0.4555618128452316,1.0
987,1,MS,0.44887442126009997,15.0,0.44887442126009997,1.0
988,1,MS,0.4426558820099435,15.0,0.4426558820099435,1.0
989,1,MS,0.43621977725623,15.0,0.43621977725623,1.0
990,1,MS,0.4302505665805481,15.0,0.4302505665805481,1.0
991,1,MS,0.42407898213195083,15.0,0.42407898213195083,1.0
992,1,MS,0.4183686902499918,15.0,0.4183686902499918,1.0
993,1,MS,0.4124655077644593,15.0,0.4124655077644593,1.0
994,1,MS,0.4070120435404336,15.0,0.4070120435404336,1.0
995,1,MS,0.4013685745832444,15.0,0.4013685745832444,1.0
996,1,MS,0.3961583129192155,15.0,0.3961583129192155,1.0
997,1,MS,0.3907567710773362,15.0,0.3907567710773362,1.0
998,1,MS,0.38577022428813945,15.0,0.38577022428813945,1.0
999,1,MS,0.3805901609012501,15.0,0.3805901609012501,1.0
1000,1,MS,0.3758077832327958,15.0,0.3758077832327958,1.0
1001,1,MS,0.3708307586086749,15.0,0.3708307586086749,1.0
1002,1,MS,0.366236653073997,15.0,0.366236653073997,1.0
1003,1,MS,0.3614494825889185,15.0,0.3614494825889185,1.0
1004,1,MS,0.35703452463165425,15.0,0.35703452463165425,1.0
1005,1,MS,0.3524319862571767,15.0,0.3524319862571767,1.0
1006,1,MS,0.34819512576432,15.0,0.34819512576432,1.0
1007,1,MS,0.34377910333112305,15.0,0.34377910333112305,1.0
1008,1,MS,0.33972437644796105,15.0,0.33972437644796105,1.0
1009,1,MS,0.3354995398444846,15.0,0.3354995398444846,1.0
1010,1,MS,0.3316320641114721,15.0,0.3316320641114721,1.0
1011,1,MS,0.32760312817800363,15.0,0.32760312817800363,1.0
1012,1,MS,0.32392747829682056,15.0,0.32392747829682056,1.0
1013,1,MS,0.3200982296634268,15.0,0.3200982296634268,1.0
1014,1,MS,0.3166178067267736,15.0,0.3166178067267736,1.0
1015,1,MS,0.3129904552702081,15.0,0.3129904552702081,1.0
1016,1,MS,0.30970625529361107,15.0,0.30970625529361107,1.0
1017,1,MS,0.3062792240076277,15.0,0.3062792240076277,1.0
1018,1,MS,0.3031867749399569,15.0,0.3031867749399569,1.0
1019,1,MS,0.29995164061394836,15.0,0.29995164061394836,1.0
1020,1,MS,0.2970395491937557,15.0,0.2970395491937557,1.0
1021,1,MS,0.2939822344324524,15.0,0.2939822344324524,1.0
1022,1,MS,0.29123521604378455,15.0,0.29123521604378455,1.0
1023,1,MS,0.28833956228050844,15.0,0.28833956228050844,1.0
1024,1,MS,0.2857420354477488,15.0,0.2857420354477488,1.0
1025,1,MS,0.28299318686846686,15.0,0.28299318686846686,1.0
1026,1,MS,0.280531872362109,15.0,0.280531872362109,1.0
1027,1,MS,0.2779181382712553,15.0,0.2779181382712553,1.0
1028,1,MS,0.27558412096433105,15.0,0.27558412096433105,1.0
1029,1,MS,0.27309930461469295,15.0,0.27309930461469295,1.0
1030,1,MS,0.27088920392113547,15.0,0.27088920392113547,1.0
1031,1,MS,0.2685317469009602,15.0,0.2685317469009602,1.0
1032,1,MS,0.26644549115585914,15.0,0.26644549115585914,1.0
1033,1,MS,0.2642158551906654,15.0,0.2642158551906654,1.0
1034,1,MS,0.2622544529721562,15.0,0.2622544529721562,1.0
1035,1,MS,0.2601535987324646,15.0,0.2601535987324646,1.0
1036,1,MS,0.258318198567408,15.0,0.258318198567408,1.0
1037,1,MS,0.25634696417989206,15.0,0.25634696417989206,1.0
1038,1,MS,0.25463833017049403,15.0,0.25463833017049403,1.0
1039,1,MS,0.2527966843292393,15.0,0.2527966843292393,1.0
1040,1,MS,0.2512137189741505,15.0,0.2512137189741505,1.0
1041,1,MS,0.24949843430118673,15.0,0.24949843430118673,1.0
1042,1,MS,0.2480358280234803,15.0,0.2480358280234803,1.0
1043,1,MS,0.2464391797004838,15.0,0.2464391797004838,1.0
