t,plant,axis,Total_transpiration
331,1,MS,0.00671175449747885
332,1,MS,0.0036209302909789324
333,1,MS,0.0036209302909789324
334,1,MS,0.003906834146108503
335,1,MS,0.003906834146108503
336,1,MS,0.0008966818358198706
337,1,MS,0.0008966818358198706
338,1,MS,0.0006066673550133429
339,1,MS,0.0006066673550133429
340,1,MS,0.0007640726931779171
341,1,MS,0.0007640726931779171
342,1,MS,0.006647576879159622
343,1,MS,0.006647576879159622
344,1,MS,0.021195389417271476
345,1,MS,0.021195389417271476
346,1,MS,0.03002640203242208
347,1,MS,0.03002640203242208
348,1,MS,0.03420353389976421
349,1,MS,0.03420353389976421
350,1,MS,0.034031103008
351,1,MS,0.034031103008
352,1,MS,0.015081146307431249
353,1,MS,0.015081146307431249
354,1,MS,0.00458040036907684
355,1,MS,0.00458040036907684
356,1,MS,0.0024262651523374325
357,1,MS,0.0024262651523374325
358,1,MS,0.00189098681463495
359,1,MS,0.00189098681463495
360,1,MS,0.0006545966760395201
361,1,MS,0.0006545966760395201
362,1,MS,0.0008547614592186322
363,1,MS,0.0008547614592186322
364,1,MS,0.0009084845037237646
365,1,MS,0.0009084845037237646
366,1,MS,0.005788972271264016
367,1,MS,0.005788972271264016
368,1,MS,0.011414587920801892
369,1,MS,0.011414587920801892
370,1,MS,0.01600136234882442
371,1,MS,0.01600136234882442
372,1,MS,0.022737678118046625
373,1,MS,0.022737678118046625
374,1,MS,0.023987692256934687
375,1,MS,0.023987692256934687
376,1,MS,0.018612511175184754
377,1,MS,0.018612511175184754
378,1,MS,0.010971964137697134
379,1,MS,0.010971964137697134
380,1,MS,0.0022894638377430245
381,1,MS,0.0022894638377430245
382,1,MS,0.0019245832452978963
383,1,MS,0.0019245832452978963
384,1,MS,0.009519997545203558
385,1,MS,0.009519997545203558
386,1,MS,0.00962543615572371
387,1,MS,0.00962543615572371
388,1,MS,0.010181094802429088
389,1,MS,0.010181094802429088
390,1,MS,0.019635733051035005
391,1,MS,0.019635733051035005
392,1,MS,0.03340521256462685
393,1,MS,0.03340521256462685
394,1,MS,0.04087396699448813
395,1,MS,0.04087396699448813
