t,hour,air_temperature,PARi_original,soil_temperature,DOY,humidity,ambient_CO2,Wind,PARi
245,17,6.335975808,0,5.813768645,357,0.75,360,2.2,0
246,18,6.036295807,1.55685949,5.615592286,357,0.75,360,2.2,0.778429745
247,19,5.874984773,0.572635554,5.452694785,357,0.75,360,2.2,0.286317777
248,20,5.796825167,0,5.299804477,357,0.75,360,2.2,0
249,21,5.790798041,0,5.214807513,357,0.75,360,2.2,0
250,22,5.693999107,0,5.156862322,357,0.75,360,2.2,0
251,23,5.61641972,0,5.121190691,357,0.75,360,2.2,0
252,24,5.573983677,0,5.110925392,357,0.75,360,2.2,0
253,1,5.384653809,0,5.080754387,358,0.75,360,2.2,0
254,2,5.333815207,0,5.064070586,358,0.75,360,2.2,0
255,3,5.243818993,0,5.033042649,358,0.75,360,2.2,0
256,4,5.239776429,0,5.028714563,358,0.75,360,2.2,0
257,5,5.131133895,0.010246867,5.031908025,358,0.75,360,2.2,0.005123434
258,6,5.015925885,1.798704116,5.041267876,358,0.75,360,2.2,0.899352058
259,7,4.986203567,3.86104049,5.051652548,358,0.75,360,2.2,1.930520245
260,8,4.856471903,1.436621266,5.02050244,358,0.75,360,2.2,0.718310633
261,9,5.172728278,69.4836961,4.939136031,358,0.75,360,2.2,34.74184805
262,10,5.805880054,174.0104351,4.941879363,358,0.75,360,2.2,87.00521754
263,11,6.454900327,258.7242708,5.091798254,358,0.75,360,2.2,129.3621354
264,12,6.801659773,308.3425011,5.262885328,358,0.75,360,2.2,154.1712505
265,13,7.172948299,314.0423016,5.594189671,358,0.75,360,2.2,157.0211508
266,14,7.276008621,256.578173,5.821012695,358,0.75,360,2.2,128.2890865
267,15,7.123403349,158.6363585,5.971288998,358,0.75,360,2.2,79.31817925
268,16,6.665575784,45.34771544,5.933302004,358,0.75,360,2.2,22.67385772
269,17,6.279248887,0,5.748016565,358,0.75,360,2.2,0
270,18,5.989161661,0.927041313,5.562913293,358,0.75,360,2.2,0.463520656
271,19,5.838038891,1.403288719,5.426190636,358,0.75,360,2.2,0.70164436
272,20,5.755502198,0,5.286085838,358,0.75,360,2.2,0
273,21,5.755783734,0,5.203584959,358,0.75,360,2.2,0
274,22,5.653837568,0,5.147047153,358,0.75,360,2.2,0
275,23,5.58338127,0,5.115139402,358,0.75,360,2.2,0
276,24,5.544903103,0,5.107543946,358,0.75,360,2.2,0
277,1,5.368355773,0,5.081289367,359,0.75,360,2.2,0
278,2,5.312593981,0,5.065941827,359,0.75,360,2.2,0
279,3,5.226095712,0,5.031341826,359,0.75,360,2.2,0
280,4,5.218805551,0,5.026091711,359,0.75,360,2.2,0
281,5,5.11508137,0.406116323,5.030053064,359,0.75,360,2.2,0.203058161
282,6,5.006540555,2.579979458,5.044454938,359,0.75,360,2.2,1.289989729
283,7,4.963667851,2.939292407,5.037418374,359,0.75,360,2.2,1.469646204
284,8,4.819896737,0,4.9758448,359,0.75,360,2.2,0
285,9,5.139007613,67.92414995,4.856239038,359,0.75,360,2.2,33.96207498
286,10,5.772021412,172.2297217,4.839505167,359,0.75,360,2.2,86.11486084
287,11,6.419771106,258.2359303,4.990779304,359,0.75,360,2.2,129.1179651
288,12,6.766774606,306.4216585,5.149250051,359,0.75,360,2.2,153.2108293
289,13,7.141399008,315.0473584,5.489543179,359,0.75,360,2.2,157.5236792
290,14,7.246419182,258.4956717,5.725017609,359,0.75,360,2.2,129.2478358
291,15,7.094221996,160.2168299,5.882197088,359,0.75,360,2.2,80.10841496
292,16,6.629239881,46.0064117,5.865796044,359,0.75,360,2.2,23.00320585
293,17,6.225776448,0,5.687395923,359,0.75,360,2.2,0
294,18,5.944119593,0.313969835,5.513878674,359,0.75,360,2.2,0.156984918
295,19,5.802148405,2.160619623,5.401030358,359,0.75,360,2.2,1.080309811
296,20,5.715425516,0,5.272972356,359,0.75,360,2.2,0
297,21,5.721371217,0,5.192625193,359,0.75,360,2.2,0
298,22,5.614499729,0,5.137196673,359,0.75,360,2.2,0
299,23,5.550497431,0,5.108620441,359,0.75,360,2.2,0
300,24,5.515393139,0,5.1033092,359,0.75,360,2.2,0
301,1,5.350732126,0,5.080438618,360,0.75,360,2.2,0
302,2,5.290187113,0,5.066127568,360,0.75,360,2.2,0
303,3,5.206877855,0,5.02820701,360,0.75,360,2.2,0
304,4,5.196396179,0,5.022040788,360,0.75,360,2.2,0
305,5,5.09733739,0.769809099,5.026561466,360,0.75,360,2.2,0.38490455
306,6,4.99488573,3.272980021,5.045387306,360,0.75,360,2.2,1.63649001
307,7,4.939780685,2.024664425,5.021825823,360,0.75,360,2.2,1.012332213
308,8,4.783971297,0,4.931863516,360,0.75,360,2.2,0
309,9,5.106363028,66.61976657,4.777154693,360,0.75,360,2.2,33.30988328
310,10,5.73958942,170.7623365,4.743153723,360,0.75,360,2.2,85.38116824
