t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
11,Soissons,6,internode,StemElement,0.0976343422879,0.152942753909,2
12,Caphorn,1,blade,LeafElement1,0.0132146235259,0.00564705202661,1
12,Caphorn,1,sheath,StemElement,0.000179268335543,0.00233834778202,1
12,Caphorn,2,blade,LeafElement1,0.0179322893387,0.0103513240554,1
12,Caphorn,2,sheath,StemElement,0.000147487763965,0.0010574272002,1
12,Caphorn,3,blade,LeafElement1,0.0503898655775,0.0357538379789,1
12,Caphorn,3,sheath,StemElement,0.000685362848846,0.00334651540142,1
12,Caphorn,4,blade,LeafElement1,0.118613633085,0.159513131783,1
12,Caphorn,4,internode,StemElement,0.00164997573432,0.00730758965327,1
12,Caphorn,4,sheath,StemElement,0.00373398308567,0.0228702487216,1
12,Caphorn,5,internode,StemElement,0.0114891467899,0.0419655558359,1
12,Caphorn,6,internode,StemElement,0.0852488660238,0.148079574974,1
12,Soissons,1,blade,LeafElement1,0.0113490684963,0.0056470716946,2
12,Soissons,1,sheath,StemElement,0.000275526065671,0.00230377230893,2
12,Soissons,2,blade,LeafElement1,0.0387460406953,0.013359511581,2
12,Soissons,2,sheath,StemElement,0.000224873123608,0.000915442306594,2
12,Soissons,3,blade,LeafElement1,0.0996203016247,0.0482446301527,2
12,Soissons,3,sheath,StemElement,0.000593897718356,0.00338148835396,2
12,Soissons,4,blade,LeafElement1,0.208304510875,0.172600403573,2
12,Soissons,4,internode,StemElement,0.000677105459066,0.00781848581809,2
12,Soissons,4,sheath,StemElement,0.00303238931115,0.0212451039087,2
12,Soissons,5,internode,StemElement,0.0124651708646,0.0482788840211,2
12,Soissons,6,internode,StemElement,0.0849847241132,0.152942753909,2
13,Caphorn,1,blade,LeafElement1,0.00543722083828,0.00564705202661,1
13,Caphorn,1,sheath,StemElement,0.00110542115163,0.00233834778202,1
13,Caphorn,2,blade,LeafElement1,0.0299413137458,0.0103513240554,1
13,Caphorn,2,sheath,StemElement,0.00164376389248,0.0010574272002,1
13,Caphorn,3,blade,LeafElement1,0.0670053845895,0.0357538379789,1
13,Caphorn,3,sheath,StemElement,0.0146467000365,0.00334651540142,1
13,Caphorn,4,blade,LeafElement1,0.129709235033,0.159513131783,1
13,Caphorn,4,internode,StemElement,0.0227394500738,0.00730758965327,1
13,Caphorn,4,sheath,StemElement,0.0421218757395,0.0228702487216,1
13,Caphorn,5,internode,StemElement,0.0315489931488,0.0419655558359,1
13,Caphorn,6,internode,StemElement,0.0960922763995,0.148079574974,1
13,Soissons,1,blade,LeafElement1,0.00702311904064,0.0056470716946,2
13,Soissons,1,sheath,StemElement,0.00146409771092,0.00230377230893,2
13,Soissons,2,blade,LeafElement1,0.0288123864818,0.013359511581,2
13,Soissons,2,sheath,StemElement,0.00140899022622,0.000915442306594,2
13,Soissons,3,blade,LeafElement1,0.08706747611,0.0482446301527,2
13,Soissons,3,sheath,StemElement,0.0142756272196,0.00338148835396,2
13,Soissons,4,blade,LeafElement1,0.212196115746,0.172600403573,2
13,Soissons,4,internode,StemElement,0.0204242300137,0.00781848581809,2
13,Soissons,4,sheath,StemElement,0.0385552651161,0.0212451039087,2
13,Soissons,5,internode,StemElement,0.0338107511036,0.0482788840211,2
13,Soissons,6,internode,StemElement,0.0973500643964,0.152942753909,2
14,Caphorn,1,blade,LeafElement1,0.0048202158075,0.00564705202661,1
14,Caphorn,1,sheath,StemElement,0.00196166370511,0.00233834778202,1
14,Caphorn,2,blade,LeafElement1,0.0177982215238,0.0103513240554,1
14,Caphorn,2,sheath,StemElement,0.00172408324756,0.0010574272002,1
14,Caphorn,3,blade,LeafElement1,0.0359170628631,0.0357538379789,1
14,Caphorn,3,sheath,StemElement,0.0091388626846,0.00334651540142,1
14,Caphorn,4,blade,LeafElement1,0.160444516351,0.159513131783,1
14,Caphorn,4,internode,StemElement,0.00313907360196,0.00730758965327,1
14,Caphorn,4,sheath,StemElement,0.0416964413344,0.0228702487216,1
14,Caphorn,5,internode,StemElement,0.0683741081235,0.0419655558359,1
14,Caphorn,6,internode,StemElement,0.126720060077,0.148079574974,1
14,Soissons,1,blade,LeafElement1,0.00514359935073,0.0056470716946,2
14,Soissons,1,sheath,StemElement,0.00137105125614,0.00230377230893,2
14,Soissons,2,blade,LeafElement1,0.0183197241132,0.013359511581,2
14,Soissons,2,sheath,StemElement,0.00215069007277,0.000915442306594,2
14,Soissons,3,blade,LeafElement1,0.0420042359828,0.0482446301527,2
14,Soissons,3,sheath,StemElement,0.00782213610003,0.00338148835396,2
14,Soissons,4,blade,LeafElement1,0.202392380066,0.172600403573,2
14,Soissons,4,internode,StemElement,0.00270297692311,0.00781848581809,2
14,Soissons,4,sheath,StemElement,0.0367395097099,0.0212451039087,2
14,Soissons,5,internode,StemElement,0.0757819077658,0.0482788840211,2
14,Soissons,6,internode,StemElement,0.128286755749,0.152942753909,2
15,Caphorn,1,blade,LeafElement1,0.00162497680402,0.00564705202661,1
15,Caphorn,1,sheath,StemElement,0.000574298578306,0.00233834778202,1
15,Caphorn,2,blade,LeafElement1,0.00528757955124,0.0103513240554,1
15,Caphorn,2,sheath,StemElement,0.000611828180147,0.0010574272002,1
15,Caphorn,3,blade,LeafElement1,0.0245606281205,0.0357538379789,1
15,Caphorn,3,sheath,StemElement,0.00279007699207,0.00334651540142,1
15,Caphorn,4,blade,LeafElement1,0.191143220721,0.159513131783,1
15,Caphorn,4,internode,StemElement,0.00536082597554,0.00730758965327,1
15,Caphorn,4,sheath,StemElement,0.0144794046927,0.0228702487216,1
15,Caphorn,5,internode,StemElement,0.082735057397,0.0419655558359,1
15,Caphorn,6,internode,StemElement,0.167935106092,0.148079574974,1
15,Soissons,1,blade,LeafElement1,0.00151744349371,0.0056470716946,2
15,Soissons,1,sheath,StemElement,0.000398370813835,0.00230377230893,2
15,Soissons,2,blade,LeafElement1,0.00528508894148,0.013359511581,2
15,Soissons,2,sheath,StemElement,0.000850211881158,0.000915442306594,2
15,Soissons,3,blade,LeafElement1,0.0224441280386,0.0482446301527,2
15,Soissons,3,sheath,StemElement,0.00281557206057,0.00338148835396,2
15,Soissons,4,blade,LeafElement1,0.152889793505,0.172600403573,2
15,Soissons,4,internode,StemElement,0.00511431572431,0.00781848581809,2
15,Soissons,4,sheath,StemElement,0.0137905956366,0.0212451039087,2
15,Soissons,5,internode,StemElement,0.0889433815838,0.0482788840211,2
15,Soissons,6,internode,StemElement,0.173809137207,0.152942753909,2
16,Caphorn,1,blade,LeafElement1,0.000432909701082,0.00564705202661,1
16,Caphorn,1,sheath,StemElement,4.31527260193e-05,0.00233834778202,1
16,Caphorn,2,blade,LeafElement1,0.00260984211175,0.0103513240554,1
16,Caphorn,2,sheath,StemElement,0.000390258536141,0.0010574272002,1
16,Caphorn,3,blade,LeafElement1,0.0135269709219,0.0357538379789,1
