t,species,metamer,organ,Eabs,plant
29,Soissons,2,sheath,0.0253798955928,1
29,Soissons,3,blade,0.190626282745,1
29,Soissons,3,sheath,0.0397833622868,1
29,Soissons,4,blade,0.380978639961,1
29,Soissons,4,internode,0.0541564898356,1
29,Soissons,4,sheath,0.0871593113713,1
29,Soissons,5,internode,0.138847983154,1
29,Soissons,6,internode,0.271952097354,1
30,Soissons,1,blade,0.0629251644581,1
30,Soissons,1,sheath,0.028582723888,1
30,Soissons,2,blade,0.103737207289,1
30,Soissons,2,sheath,0.0253798955928,1
30,Soissons,3,blade,0.190626282745,1
30,Soissons,3,sheath,0.0397833622868,1
30,Soissons,4,blade,0.380978639961,1
30,Soissons,4,internode,0.0541564898356,1
30,Soissons,4,sheath,0.0871593113713,1
30,Soissons,5,internode,0.138847983154,1
30,Soissons,6,internode,0.271952097354,1
31,Soissons,1,blade,0.0629251644581,1
31,Soissons,1,sheath,0.028582723888,1
31,Soissons,2,blade,0.103737207289,1
31,Soissons,2,sheath,0.0253798955928,1
31,Soissons,3,blade,0.190626282745,1
31,Soissons,3,sheath,0.0397833622868,1
31,Soissons,4,blade,0.380978639961,1
31,Soissons,4,internode,0.0541564898356,1
31,Soissons,4,sheath,0.0871593113713,1
31,Soissons,5,internode,0.138847983154,1
31,Soissons,6,internode,0.271952097354,1
32,Soissons,1,blade,0.0629251644581,1
32,Soissons,1,sheath,0.028582723888,1
32,Soissons,2,blade,0.103737207289,1
32,Soissons,2,sheath,0.0253798955928,1
32,Soissons,3,blade,0.190626282745,1
32,Soissons,3,sheath,0.0397833622868,1
32,Soissons,4,blade,0.380978639961,1
32,Soissons,4,internode,0.0541564898356,1
32,Soissons,4,sheath,0.0871593113713,1
32,Soissons,5,internode,0.138847983154,1
32,Soissons,6,internode,0.271952097354,1
33,Soissons,1,blade,0.0629251644581,1
33,Soissons,1,sheath,0.028582723888,1
33,Soissons,2,blade,0.103737207289,1
33,Soissons,2,sheath,0.0253798955928,1
33,Soissons,3,blade,0.190626282745,1
