t,species,metamer,organ,Eabs_diffuse,Eabs_direct
28,Caphorn,3,sheath,0,0
28,Caphorn,4,blade,0,0
28,Caphorn,4,internode,0,0
28,Caphorn,4,sheath,0,0
28,Caphorn,5,internode,0,0
28,Caphorn,6,internode,0,0
28,Soissons,1,blade,0,0
28,Soissons,1,sheath,0,0
28,Soissons,2,blade,0,0
28,Soissons,2,sheath,0,0
28,Soissons,3,blade,0,0
28,Soissons,3,sheath,0,0
28,Soissons,4,blade,0,0
28,Soissons,4,internode,0,0
28,Soissons,4,sheath,0,0
28,Soissons,5,internode,0,0
28,Soissons,6,internode,0,0
29,Caphorn,1,blade,0.016900681,0
29,Caphorn,1,sheath,0.007521279,0
29,Caphorn,2,blade,0.026281063,0
29,Caphorn,2,sheath,0.00466392,0
29,Caphorn,3,blade,0.065940859,0
29,Caphorn,3,sheath,0.010798044,0
29,Caphorn,4,blade,0.217939776,0.150478456
29,Caphorn,4,internode,0.017110265,0
29,Caphorn,4,sheath,0.040642991,1.99E-05
29,Caphorn,5,internode,0.066593708,0.00013507
29,Caphorn,6,internode,0.189017344,0.43822809
29,Soissons,1,blade,0.016566714,0
29,Soissons,1,sheath,0.007723921,0
29,Soissons,2,blade,0.034612533,0
29,Soissons,2,sheath,0.004868506,0
29,Soissons,3,blade,0.084535412,0
29,Soissons,3,sheath,0.010599798,0
29,Soissons,4,blade,0.235000624,0.067626539
29,Soissons,4,internode,0.017878496,0
29,Soissons,4,sheath,0.037837728,0
29,Soissons,5,internode,0.071528529,0.000945451
29,Soissons,6,internode,0.192944768,0.448637575
30,Caphorn,1,blade,0.016900681,4.08E-06
30,Caphorn,1,sheath,0.007521279,0
30,Caphorn,2,blade,0.026281063,0.000110235
30,Caphorn,2,sheath,0.00466392,0
30,Caphorn,3,blade,0.065940859,0.003657518
