ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
455,1,9,0.961695838,1.231738428,0.818909091,0.177454545,0.109589041,28.15,6.1,0.6
464,1,9,1.598780248,1.868822838,0.933818182,0.328727273,0.219178082,32.1,11.3,1.2
473,1,9,1.856764533,2.126807124,1.029818182,0.378181818,0.748858447,35.4,13,4.1
484,1,9,2.089280534,2.359323125,0.980363636,0.357818182,0.748858447,33.7,12.3,4.1
493,1,9,2.30198787,2.57203046,0.980363636,0.363636364,0.96803653,33.7,12.5,5.3
503,1,9,2.456967095,2.727009685,1.006545455,0.354909091,0.931506849,34.6,12.2,5.1
514,1,9,2.527900982,2.797943573,1.029818182,0.378181818,1.04109589,35.4,13,5.7
523,1,9,2.777112859,3.047155449,1.005090909,0.363636364,0.98630137,34.55,12.5,5.4
531,1,9,2.992932985,3.262975575,1.015272727,0.363636364,0.876712329,34.9,12.5,4.8
543,1,9,3.209979361,3.480021952,0.997818182,0.372363636,1.04109589,34.3,12.8,5.7
552,1,9,3.511165402,3.781207993,1.000727273,0.363636364,1.00456621,34.4,12.5,5.5
563,1,9,3.774149017,4.044191608,0.994909091,0.378181818,0.98630137,34.2,13,5.4
572,1,9,4.03251061,4.302553201,0.994909091,0.357818182,0.98630137,34.2,12.3,5.4
582,1,9,4.518954836,4.788997427,1.009454545,0.349090909,0.96803653,34.7,12,5.3
593,1,9,4.808350005,5.078392596,1.015272727,0.375272727,1.00456621,34.9,12.9,5.5
602,1,9,5.127741153,5.397783744,0.980363636,0.354909091,0.840182648,33.7,12.2,4.6
616,1,9,5.572398528,5.842441118,0.994909091,0.363636364,1.04109589,34.2,12.5,5.7
622,1,9,5.856322732,6.126365323,0.992,0.363636364,1.077625571,34.1,12.5,5.9
631,1,9,6.444357114,6.714399704,NA,0.346181818,0.694063927,NA,11.9,3.8
642,1,9,6.732714686,7.002757276,1.032727273,0.386909091,1.059360731,35.5,13.3,5.8
651,1,9,6.990604644,7.260647234,NA,0.366545455,0.96803653,NA,12.6,5.3
661,1,9,7.557698436,7.827741027,NA,0.360727273,0.858447489,NA,12.4,4.7
681,1,9,8.865636315,9.135678905,0.992,0.372363636,0.98630137,34.1,12.8,5.4
692,1,9,9.317556867,9.587599458,NA,0.340363636,0.821917808,NA,11.7,4.5
617,1,10,-6.099661449,-5.662076495,0.000165975,NA,NA,0.007,NA,NA
97,1,10,-5.612934242,-5.175349288,0.000118554,NA,NA,0.005,NA,NA
107,1,10,-5.365042943,-4.92745799,0.000165975,NA,NA,0.007,NA,NA
1110,1,10,-5.200914001,-4.763329048,0.000237107,NA,NA,0.01,NA,NA
127,1,10,-5.061970363,-4.624385409,0.000308239,NA,NA,0.013,NA,NA
137,1,10,-4.955852512,-4.518267559,0.000355661,NA,NA,0.015,NA,NA
147,1,10,-4.912650756,-4.475065803,0.00033195,NA,NA,0.014,NA,NA
157,1,10,-4.72088401,-4.283299056,0.000521636,NA,NA,0.022,NA,NA
167,1,10,-4.614954813,-4.17736986,0.000474215,NA,NA,0.02,NA,NA
177,1,10,-4.486953104,-4.04936815,0.000474215,NA,NA,0.02,NA,NA
187,1,10,-4.278207501,-3.840622548,0.000450504,NA,NA,0.019,NA,NA
197,1,10,-4.143319923,-3.705734969,0.00064019,NA,NA,0.027,NA,NA
