t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
269,358,17,6,0,6.779,0.87,360,4.6
270,358,18,5.4,0,6.4385,0.88,360,4.6
271,358,19,4.8,0,5.987,0.93,360,4.6
272,358,20,4.3,0,5.5705,0.94,360,4.6
273,358,21,4.6,0,5.2655,0.94,360,4.6
274,358,22,5,0,5.235,0.94,360,4.6
275,358,23,5.1,0,5.374,0.93,360,4.6
276,358,24,4.9,0,5.471,0.94,360,4.2
277,359,1,4.5,0,5.504,0.94,360,4.2
278,359,2,4.1,0,5.4945,0.95,360,4.2
279,359,3,3.8,0,5.4365,0.97,360,4.2
280,359,4,3.6,0,5.3495,0.97,360,4.2
281,359,5,3.7,0,5.2615,0.99,360,4.2
282,359,6,3.1,0,5.2075,0.99,360,4.2
283,359,7,3,0,5.144,1,360,4.2
284,359,8,2.8,0,5.0225,1,360,4.2
285,359,9,3.1,56.11111111,4.9075,1,360,4.2
286,359,10,4.4,213.2222222,4.9445,1,360,4.2
287,359,11,5.6,303,5.1615,0.98,360,4.2
288,359,12,6.1,291.7777778,5.599,0.93,360,4.2
289,359,13,8.1,460.1111111,6.054,0.87,360,4.2
290,359,14,8.5,404,6.5455,0.85,360,4.2
291,359,15,8.6,190.7777778,6.815,0.87,360,4.2
292,359,16,8.4,44.88888889,6.7465,0.87,360,4.2
293,359,17,8.3,0,6.533,0.87,360,4.2
294,359,18,7.6,0,6.2865,0.89,360,4.2
295,359,19,7.6,0,6.091,0.88,360,4.2
296,359,20,7.9,0,5.9525,0.86,360,4.2
297,359,21,8.3,0,5.841,0.82,360,4.2
298,359,22,7.9,0,5.7395,0.79,360,4.2
299,359,23,7.8,0,5.663,0.8,360,4.2
300,359,24,7.5,0,5.5615,0.8,360,4.3
301,360,1,7.1,0,5.3945,0.81,360,4.3
302,360,2,7.2,0,5.241,0.8,360,4.3
303,360,3,7.2,0,5.163,0.79,360,4.3
304,360,4,8.2,0,5.1765,0.76,360,4.3
305,360,5,8.4,0,5.2415,0.76,360,4.3
