t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
19,1,MS,2,blade,LeafElement1,0.00000000,0.00214348,0.00000000,0.05075601,3.01404028,0.15452705,1.46328430,0.01514885,0.02982223,0.07505959,0.00285729,0.00000000,0.00002420,0.00000000,NA,0.00000000,0.00000000,0.00000087,0.09574468,0.21608730,0.00249118,0.00000000,1.12496112,1.75206492,0.00000000,0.00000000,25.90633827,0.02797207,0.00000674,6.55171066,0.00330000,164.45486809,0.56251042,NA,0.38478645,0.00035785,0.05075601,0.00024107,0.05000000,0.06200019,False,False,0.09200000,0.00483764,4889.19198098,0.00483764,1.00000000,0.02002870,23.61525642,0,0.00000000,0.00152380,14.09625177,0.09574554,-0.00000220,0.00255729
19,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.82837408,4.20939567,0.00000000,0.47838064,0.00824122,0.04589810,0.02967363,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000063,0.01675635,0.00000000,0.00008530,0.00000000,0.03869816,1.73550311,0.00000000,0.00000000,4.82440283,0.00000000,0.00000000,5.60000000,NA,164.45486809,0.26145779,NA,0.05928785,0.00000000,6.73576487,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.74865933,0,0.00000000,0.00000000,6.69266048,0.01675697,0.00000000,0.00300000
19,1,MS,2,sheath,StemElement,0.00000000,0.00003928,0.00000000,0.00210608,3.94111992,0.03300813,0.55031306,0.00019080,0.00041448,0.02967383,0.00005236,0.00000000,0.00000020,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00031110,0.03606251,0.00060370,0.00000000,0.27206439,1.62648428,0.00000000,0.00000000,0.08431356,0.02622009,0.00000012,6.52665508,NA,164.45486809,0.00417844,NA,0.00119654,0.00000656,0.00210608,0.00000471,0.05000000,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00037082,0.06584940,0,0.00000000,0.00000269,0.11618233,0.00031110,-0.00000001,0.00300000
19,1,MS,3,blade,LeafElement1,0.00000000,0.00172592,0.00000000,0.38239750,2.67348689,0.13649796,1.63162607,0.01338397,-0.05667841,NA,0.00230068,0.00000000,0.00002145,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.09197267,0.25757312,0.01500000,0.00000000,6.75250911,1.55705503,0.00000000,0.00000000,24.93238748,0.02789882,0.00000543,6.55066357,0.00400000,84.45486809,0.42066359,NA,0.37973647,0.00028814,0.38239750,0.00019462,0.05000000,0.05776841,True,False,0.06672690,0.00428158,0.00000000,0.00428158,1.00000000,0.01582946,22.97930470,0,0.00000000,0.00119129,12.41440258,0.09197267,-0.00000163,0.00288267
19,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22280439,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001080,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
19,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22280439,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005399,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
20,1,MS,1,blade,LeafElement1,0.00000000,0.00180398,0.00000000,0.03339580,3.68314094,0.08724628,1.27743933,0.01455611,0.04185631,0.06425297,0.00238028,0.00000000,0.00002050,0.00000000,NA,0.00000000,0.00000000,0.00000103,0.07172690,0.20063534,0.00063312,0.00000000,0.29657424,1.81914440,0.00000000,0.00000000,18.81917305,0.03361291,0.00000657,7.03946637,0.00300000,244.68693180,0.47432848,NA,0.27339283,0.00029765,0.03339580,0.00019533,0.05000000,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.01854125,16.88055885,0,0.00000000,0.00070020,11.86265661,0.07172794,-0.00000186,0.00232481
20,1,MS,1,sheath,StemElement,0.00000000,0.00227685,0.00000000,0.07072335,3.35240729,0.02315112,0.48446641,0.00689924,0.03509548,0.02305262,0.00300421,0.00000000,0.00000855,0.00000000,NA,0.00000000,0.00000000,0.00000036,0.01063269,0.02172854,0.00008052,0.00000000,0.03780804,1.79191174,0.00000000,0.00000000,2.79071199,0.03085094,0.00000829,7.00063309,NA,244.68693180,0.19321075,NA,0.04317243,0.00037567,0.07072335,0.00026861,0.05000000,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.02346696,1.98678696,0,0.00000000,0.00007737,4.95819188,0.01063305,-0.00000080,0.00300000
20,1,MS,2,blade,LeafElement1,0.00000000,0.00223690,0.00000000,0.05229885,3.23141260,0.09672686,1.49874499,0.01563175,0.03467474,0.07503016,0.00295150,0.00000000,0.00002420,0.00000000,NA,0.00000000,0.00000000,0.00000101,0.09861700,0.22366224,0.00168676,0.00000000,0.78915379,1.81252179,0.00000000,0.00000000,25.89298121,0.03377179,0.00000814,7.04169837,0.00330000,164.68693180,0.55577509,NA,0.37784025,0.00036908,0.05229885,0.00024107,0.05000000,0.06200019,False,False,0.09200000,0.00483764,4889.19198098,0.00483764,1.00000000,0.02298020,23.60863469,0,0.00000000,0.00091445,13.94658691,0.09861800,-0.00000220,0.00255729
20,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.97979258,4.42049321,0.00000000,0.48949959,0.00866269,0.04993119,0.02962353,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000068,0.01679517,0.00000000,0.00006634,0.00000000,0.03118806,1.79765806,0.00000000,0.00000000,4.81582765,0.00000000,0.00000000,5.71200000,NA,164.68693180,0.25881557,NA,0.05816127,0.00000000,6.72904992,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.74272637,0,0.00000000,0.00000000,6.62386711,0.01679586,0.00000000,0.00300000
20,1,MS,2,sheath,StemElement,0.00000000,0.00004095,0.00000000,0.00210840,4.13539362,0.02066158,0.56631346,0.00020177,0.00046310,0.02963953,0.00005403,0.00000000,0.00000020,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00031983,0.03728297,0.00043783,0.00000000,0.20434128,1.67837819,0.00000000,0.00000000,0.08415302,0.03162577,0.00000015,7.01153388,NA,164.68693180,0.00411535,NA,0.00118049,0.00000676,0.00210840,0.00000471,0.05000000,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00042485,0.06575195,0,0.00000000,0.00000162,0.11487670,0.00031983,-0.00000001,0.00300000
20,1,MS,3,blade,LeafElement1,0.00000000,0.00180700,0.00000000,0.41060094,2.85322599,0.08516432,1.67766576,0.01433208,-0.05541818,NA,0.00238426,0.00000000,0.00002152,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.09499943,0.26656839,0.01500000,0.00000000,6.99204131,1.60089420,0.00000000,0.00000000,24.99778070,0.03368328,0.00000658,7.04045502,0.00400000,84.68693180,0.41367718,NA,0.37554989,0.00029815,0.41060094,0.00019525,0.05000000,0.05786616,True,False,0.06688990,0.00429552,0.00000000,0.00429552,1.00000000,0.01821372,23.04670782,0,0.00000000,0.00071491,12.31222129,0.09499943,-0.00000163,0.00288263
20,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45486809,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001084,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
20,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45486809,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005421,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
21,1,MS,1,blade,LeafElement1,0.46518772,0.00229253,0.30298987,0.03341414,3.80424160,1.69048898,1.26529178,0.01865733,0.12489448,0.06421790,0.00299379,0.00000000,0.00002050,7.84359009,NA,0.32711922,0.00296385,0.00000308,0.07287573,0.16219785,0.00002484,0.72898821,0.01176991,1.86932401,4.84344296,72.39000426,18.82468951,0.03539364,0.00000691,7.25302227,0.00300000,244.92539315,0.48760300,NA,0.26852418,0.00037384,0.03341414,0.00019533,0.06531303,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00003893,16.87280079,0,0.00000000,0.01345353,11.91987647,0.07584265,0.00003856,0.00232481
21,1,MS,1,sheath,StemElement,0.11712490,0.00276544,0.13015492,0.07065914,3.38909317,0.39188958,0.48425142,0.01407981,0.03203297,0.02304006,0.00361135,0.00000000,0.00000855,3.16812684,NA,0.11325769,0.00380364,0.00000033,0.01070796,0.02000521,0.00010571,2.24681876,0.04970735,1.93951360,3.67949548,55.17352957,2.80941876,0.03104802,0.00000834,7.18434638,NA,244.92539315,0.21447913,NA,0.04279170,0.00045096,0.07065914,0.00026861,0.06667966,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00006569,1.98422535,0,0.00000000,0.00129862,4.90367169,0.01451192,0.00001220,0.00300000
21,1,MS,2,blade,LeafElement1,0.44605225,0.00275063,0.26283293,0.05238957,3.34814453,1.68740951,1.48422316,0.02032190,0.12738082,0.07500005,0.00359202,0.00000000,0.00002420,7.33420128,NA,0.38710628,0.00355610,0.00000370,0.10014548,0.18321933,0.00003824,0.74251443,0.01809609,1.86433524,4.86383431,72.69062147,25.90237109,0.03440937,0.00000830,7.24525716,0.00330000,164.92539315,0.57212291,NA,0.37104413,0.00044855,0.05238957,0.00024107,0.06383404,0.06200019,False,False,0.09200000,0.00483764,4889.19198098,0.00483764,1.00000000,0.00004653,23.60167675,0,0.00000000,0.01581897,14.01478025,0.10370527,0.00004562,0.00255729
21,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,3.03614058,4.48712437,0.00000000,0.48417638,0.00873254,0.04748985,0.02957087,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000065,0.01684872,0.00000000,0.00007705,0.00000000,0.03628322,1.80005668,0.00000000,0.00000000,4.80710132,0.00000000,0.00000000,5.84000000,NA,164.92539315,0.25616883,NA,0.05704676,0.00000000,6.72220522,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.73664678,0,0.00000000,0.00000000,6.55352241,0.01684937,0.00000000,0.00300000
21,1,MS,2,sheath,StemElement,0.06332852,0.00004146,0.04537506,0.00212741,4.19472240,0.09391811,0.56339366,0.00035916,0.00011860,0.02960225,0.00005414,0.00000000,0.00000020,1.63479174,NA,0.00107434,0.00027675,0.00000000,0.00032122,0.03581536,0.00962316,6.98861464,4.49579867,1.73038688,0.22650598,3.42970312,0.08418536,0.02653131,0.00000013,7.16358499,NA,164.92539315,0.00424638,NA,0.00116457,0.00000676,0.00212741,0.00000471,0.05671407,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00019448,0.06565326,0,0.00000000,0.00000728,0.11354695,0.00059797,0.00000002,0.00300000
21,1,MS,3,blade,LeafElement1,0.42978320,0.00216065,0.20805245,0.41716541,2.94261690,1.47669438,1.66807150,0.01675272,0.21528665,NA,0.00282158,0.00000000,0.00002159,6.76181810,NA,0.30310072,0.00279336,0.00000557,0.09622465,0.22173075,0.00000561,0.65468671,0.00262150,1.59706946,4.26763156,63.88696903,25.06692943,0.03326109,0.00000652,7.23999680,0.00400000,84.92539315,0.40889936,NA,0.37150523,0.00035234,0.41716541,0.00019590,0.06210680,0.05795651,True,False,0.06705704,0.00430981,0.00000000,0.00430981,1.00000000,0.00004143,23.11553152,0,0.00000000,0.01233310,12.22982042,0.09902358,0.00003566,0.00288258
21,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69332944,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001089,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
21,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69332944,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005443,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
22,1,MS,1,blade,LeafElement1,1.34904122,0.00249088,1.23013068,0.03328279,4.06576157,7.12249127,1.29512831,0.01915983,0.41245209,0.06417363,0.00321681,0.00000000,0.00002050,23.53077028,NA,0.94864349,0.00318465,0.00001016,0.07761276,0.11891054,0.00000069,0.78329594,0.00035060,1.93620004,14.66923114,213.72537748,18.81129318,0.06341252,0.00001239,7.93608861,0.00300000,245.17188136,0.48272553,NA,0.26355719,0.00040117,0.03328279,0.00019533,0.09446930,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00001495,16.86428193,0,0.00000000,0.05435322,12.43819365,0.08080757,0.00011210,0.00232481
22,1,MS,1,sheath,StemElement,0.32069840,0.00271581,0.39365220,0.07054244,3.54429948,4.85223999,0.50003331,0.01340683,0.15150745,0.02300163,0.00350729,0.00000000,0.00000855,9.50438051,NA,0.31010965,0.00347222,0.00000155,0.01137644,0.01749959,0.00000101,2.05104892,0.00050360,1.99116880,11.11262089,163.42856864,2.80182106,0.05027828,0.00001351,7.79110427,NA,245.17188136,0.20950298,NA,0.04236985,0.00043740,0.07054244,0.00026861,0.09572530,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00002096,1.98160380,0,0.00000000,0.01541812,5.06538378,0.01485021,0.00003535,0.00300000
22,1,MS,2,blade,LeafElement1,1.29807529,0.00288731,1.16183499,0.05214555,3.59040463,7.17359160,1.51885343,0.02074419,0.45706296,0.07496085,0.00372877,0.00000000,0.00002420,22.00260384,NA,1.12653414,0.00369148,0.00001327,0.10659366,0.13624031,0.00000083,0.77078291,0.00042101,1.92953134,14.79683711,215.51255359,25.88824567,0.05955911,0.00001436,7.91115904,0.00330000,165.17188136,0.56576074,NA,0.36409238,0.00046502,0.05214555,0.00024107,0.09030997,0.06200019,False,False,0.09200000,0.00483764,4889.19198098,0.00483764,1.00000000,0.00001720,23.59391351,0,0.00000000,0.06448573,14.64582152,0.11029841,0.00013320,0.00255729
22,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,3.19441254,4.71016930,0.00000000,0.49484689,0.00907039,0.02979113,0.02951729,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000041,0.01694968,0.00000000,0.00030729,0.00000000,0.15003688,1.86412044,0.00000000,0.00000000,4.79807720,0.00000000,0.00000000,6.00100000,NA,165.17188136,0.25358457,NA,0.05590718,0.00000000,6.71505948,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.73020691,0,0.00000000,0.00000000,6.49384843,0.01695009,0.00000000,0.00300000
22,1,MS,2,sheath,StemElement,0.18483380,0.00003357,0.20320290,0.00212793,4.40345580,1.66629239,0.57851052,0.00036649,0.00190767,0.02953295,0.00004336,0.00000000,0.00000020,4.90437523,NA,0.00313563,0.00000000,0.00000000,0.00033421,0.03376351,0.00000645,0.00000000,0.00314785,1.78646625,4.89630903,73.21057123,0.08402207,0.03542976,0.00000017,7.71429451,NA,165.17188136,0.00418595,NA,0.00114666,0.00000541,0.00212793,0.00000471,0.06962458,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,-0.00000316,0.06555041,0,0.00000000,0.00012385,0.11387974,0.00033421,0.00000036,0.00300000
22,1,MS,3,blade,LeafElement1,1.25519108,0.00220201,1.08744945,0.41626213,3.14073411,6.29512746,1.71414309,0.01798086,0.70107037,NA,0.00284376,0.00000000,0.00002167,20.28545431,NA,0.88823977,0.00281532,0.00001819,0.10085112,0.16774162,0.00000016,0.65758569,0.00007981,1.64311216,12.99835418,190.21336472,25.13651838,0.05570566,0.00001095,7.89784686,0.00400000,85.17188136,0.40271566,NA,0.36732419,0.00035465,0.41626213,0.00019657,0.08541696,0.05801107,True,False,0.06722947,0.00432455,0.00000000,0.00432455,1.00000000,0.00001471,23.18603975,0,0.00000000,0.05058692,12.22236951,0.10368463,0.00010458,0.00288253
22,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93981765,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001093,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
22,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93981765,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005466,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
23,1,MS,1,blade,LeafElement1,1.34943445,0.00429327,1.23144003,0.03314710,4.12339533,10.13167195,1.26218521,0.02020065,0.58861644,0.06412788,0.00549167,0.00000000,0.00002050,23.53077028,NA,0.94892001,0.00543676,0.00001450,0.07765783,0.11799442,0.00000024,1.33722473,0.00012135,1.91690125,14.55576181,212.06713583,18.80125564,0.06303608,0.00001231,7.83676655,0.00300000,245.42750906,0.48156767,NA,0.25901563,0.00068422,0.03314710,0.00019533,0.09449971,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00002575,16.85540225,0,0.00000000,0.07796780,12.72987125,0.08310909,0.00011217,0.00232481
23,1,MS,1,sheath,StemElement,0.32043282,0.00468234,0.39348113,0.07042232,3.51405214,7.26065275,0.49468138,0.01399925,0.20947431,0.02293906,0.00598935,0.00000000,0.00000855,9.50438051,NA,0.30985284,0.00592945,0.00000215,0.01132290,0.01733018,0.00000038,3.50253918,0.00019057,1.97144704,10.79005753,158.78199909,2.79869583,0.04999463,0.00001343,7.69201788,NA,245.42750906,0.20901340,NA,0.04226924,0.00074622,0.07042232,0.00026861,0.09575567,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00003690,1.97896815,0,0.00000000,0.02326515,5.13441941,0.01725450,0.00003461,0.00300000
23,1,MS,2,blade,LeafElement1,1.29854587,0.00497612,1.16333331,0.05189488,3.65392875,10.21512804,1.47959679,0.02179321,0.66586097,0.07491989,0.00636513,0.00000000,0.00002420,22.00260384,NA,1.12694253,0.00630148,0.00001933,0.10673294,0.13521256,0.00000027,1.31575046,0.00013713,1.90913088,14.68649636,213.89802184,25.87816535,0.05920049,0.00001427,7.81177815,0.00330000,165.42750906,0.56389985,NA,0.35766786,0.00079304,0.05189488,0.00024107,0.09033673,0.06200019,False,False,0.09200000,0.00483764,4889.19198098,0.00483764,1.00000000,0.00002961,23.58569407,0,0.00000000,0.09260013,15.01329807,0.11305374,0.00013332,0.00255729
23,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,3.18966460,4.69983284,0.00000000,0.48099944,0.00921799,0.01650854,0.02946188,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000023,0.01711110,0.00000000,0.00164185,0.00000000,0.79133253,1.83477690,0.00000000,0.00000000,4.78886757,0.00000000,0.00000000,6.20300000,NA,165.42750906,0.25086200,NA,0.05480020,0.00000000,6.70837199,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.72371985,0,0.00000000,0.00000000,6.44765508,0.01711132,0.00000000,0.00300000
23,1,MS,2,sheath,StemElement,0.18485159,0.00005788,0.20360572,0.00212789,4.38690225,2.83608203,0.56688804,0.00032393,0.00206629,0.02940662,0.00007404,0.00000000,0.00000020,4.90437523,NA,0.00313593,0.00007299,0.00000000,0.00033092,0.03338350,0.00000508,1.84308654,0.00245222,1.73828046,4.52557639,67.72783242,0.08380641,0.03522627,0.00000017,7.61486375,NA,165.42750906,0.00407529,NA,0.00113308,0.00000922,0.00212789,0.00000471,0.06967264,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000103,0.06544540,0,0.00000000,0.00021258,0.11355566,0.00040391,0.00000034,0.00300000
23,1,MS,3,blade,LeafElement1,1.25565251,0.00380827,1.08919317,0.41548950,3.18126869,8.95818649,1.67688076,0.02160631,0.68699069,NA,0.00487129,0.00000000,0.00002174,20.28545431,NA,0.89170162,0.00482258,0.00001789,0.10031346,0.16645934,0.00000018,1.12246742,0.00008481,1.60725930,12.90494426,188.83887401,25.20870309,0.05536768,0.00001092,7.79840428,0.00400000,85.42750906,0.39663919,NA,0.36364295,0.00060692,0.41548950,0.00019726,0.08544254,0.05806735,True,False,0.06740797,0.00433981,0.00000000,0.00433981,1.00000000,0.00002541,23.25885121,0,0.00000000,0.07284913,12.22169449,0.10515393,0.00010507,0.00288247
23,1,MS,4,blade,LeafElement1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00467028,0.00000000,0.00009334,NA,0.00020054,NA,0.00000000,0.00000005,NA,NA,True,False,0.00012908,0.00000100,0.00000000,0.00000100,NA,0.00000000,0.00988661,0,0.00000000,0.00000000,0.01039758,NA,NA,0.00042474
23,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19544536,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001098,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
23,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19544536,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005491,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
24,1,MS,1,blade,LeafElement1,0.91223510,0.00423043,0.77336835,0.03301175,4.25209825,9.98197221,1.25065883,0.02115720,0.58501485,0.06409370,0.00535309,0.00000000,0.00002050,15.67785386,NA,0.64148217,0.00530074,0.00001442,0.07752224,0.13886675,0.00000024,1.30377052,0.00012427,1.92773243,9.63405263,142.23966454,18.78994236,0.04939733,0.00000965,7.84442697,0.00300000,245.69080600,0.47962820,NA,0.25450770,0.00066636,0.03301175,0.00019533,0.08007617,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00003641,16.84602844,0,0.00000000,0.07617452,12.66669220,0.08283739,0.00007359,0.00232481
24,1,MS,1,sheath,StemElement,0.22381179,0.00485121,0.26803228,0.07030233,3.54250122,7.28515853,0.49780905,0.01456517,0.20133276,0.02291360,0.00613862,0.00000000,0.00000855,6.33222988,NA,0.21642202,0.00607974,0.00000207,0.01131649,0.01890592,0.00000043,3.59131754,0.00021550,1.98308305,7.22896859,107.41575387,2.79525662,0.04119352,0.00001106,7.73590996,NA,245.69080600,0.20823782,NA,0.04218138,0.00076414,0.07030233,0.00026861,0.08197392,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00005494,1.97630451,0,0.00000000,0.02314879,5.09882189,0.01739830,0.00002299,0.00300000
24,1,MS,2,blade,LeafElement1,0.87609439,0.00497230,0.71771870,0.05164514,3.78103880,10.05775782,1.46552033,0.02281167,0.66891815,0.07489075,0.00629184,0.00000000,0.00002420,14.65699653,NA,0.76031818,0.00623037,0.00001942,0.10665925,0.15837569,0.00000026,1.30090227,0.00013605,1.91942544,9.69745470,143.15167055,25.86689004,0.04704466,0.00001134,7.82794104,0.00330000,165.69080600,0.56142204,NA,0.35130762,0.00078322,0.05164514,0.00024107,0.07720672,0.06200019,False,False,0.09200000,0.00483764,4889.19198098,0.00483764,1.00000000,0.00004254,23.57689657,0,0.00000000,0.09041244,14.95250006,0.11290903,0.00008725,0.00255729
24,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,3.23467515,4.76766882,0.00000000,0.47537350,0.00939908,0.01375346,0.02940533,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000019,0.01731512,0.00000000,0.00262945,0.00000000,1.27325037,1.83606856,0.00000000,0.00000000,4.77946946,0.00000000,0.00000000,6.43300000,NA,165.69080600,0.24810753,NA,0.05370710,0.00000000,6.70191604,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.71707622,0,0.00000000,0.00000000,6.41018032,0.01731531,0.00000000,0.00300000
24,1,MS,2,sheath,StemElement,0.12465422,0.00006487,0.12472427,0.00212792,4.44191025,2.86627848,0.56535279,0.00031862,0.00150937,0.02933260,0.00008208,0.00000000,0.00000020,3.26853413,NA,0.00211471,0.00008099,0.00000000,0.00033085,0.03508884,0.00001301,2.04513718,0.00631146,1.73138303,2.87208126,43.17875159,0.08362853,0.03139640,0.00000015,7.68775219,NA,165.69080600,0.00400519,NA,0.00112058,0.00001022,0.00212792,0.00000471,0.06328339,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000178,0.06533763,0,0.00000000,0.00021305,0.11272860,0.00041184,0.00000021,0.00300000
