t,species,metamer,organ,Eabs
616,Caphorn,3,sheath,0.00612734
616,Caphorn,4,blade,0.151492197
616,Caphorn,4,internode,0.011737101
616,Caphorn,4,sheath,0.03116017
616,Caphorn,5,internode,0.039086207
616,Caphorn,6,internode,0.14268521
617,Caphorn,1,blade,0.011908449
617,Caphorn,1,sheath,0.004855355
617,Caphorn,2,blade,0.017198719
617,Caphorn,2,sheath,0.002165976
617,Caphorn,3,blade,0.048405249
617,Caphorn,3,sheath,0.00612734
617,Caphorn,4,blade,0.151492197
617,Caphorn,4,internode,0.011737101
617,Caphorn,4,sheath,0.03116017
617,Caphorn,5,internode,0.039086207
617,Caphorn,6,internode,0.14268521
618,Caphorn,1,blade,0.011908449
618,Caphorn,1,sheath,0.004855355
618,Caphorn,2,blade,0.017198719
618,Caphorn,2,sheath,0.002165976
618,Caphorn,3,blade,0.048405249
618,Caphorn,3,sheath,0.00612734
618,Caphorn,4,blade,0.151492197
618,Caphorn,4,internode,0.011737101
618,Caphorn,4,sheath,0.03116017
618,Caphorn,5,internode,0.039086207
618,Caphorn,6,internode,0.14268521
619,Caphorn,1,blade,0.011908449
619,Caphorn,1,sheath,0.004855355
619,Caphorn,2,blade,0.017198719
619,Caphorn,2,sheath,0.002165976
619,Caphorn,3,blade,0.048405249
619,Caphorn,3,sheath,0.00612734
619,Caphorn,4,blade,0.151492197
619,Caphorn,4,internode,0.011737101
619,Caphorn,4,sheath,0.03116017
619,Caphorn,5,internode,0.039086207
619,Caphorn,6,internode,0.14268521
620,Caphorn,1,blade,0
620,Caphorn,1,sheath,0
620,Caphorn,2,blade,0
620,Caphorn,2,sheath,0
620,Caphorn,3,blade,0
620,Caphorn,3,sheath,0
620,Caphorn,4,blade,0
620,Caphorn,4,internode,0
620,Caphorn,4,sheath,0
620,Caphorn,5,internode,0
620,Caphorn,6,internode,0
621,Caphorn,1,blade,0
621,Caphorn,1,sheath,0
621,Caphorn,2,blade,0
621,Caphorn,2,sheath,0
621,Caphorn,3,blade,0
621,Caphorn,3,sheath,0
621,Caphorn,4,blade,0
621,Caphorn,4,internode,0
621,Caphorn,4,sheath,0
621,Caphorn,5,internode,0
621,Caphorn,6,internode,0
622,Caphorn,1,blade,0
622,Caphorn,1,sheath,0
622,Caphorn,2,blade,0
622,Caphorn,2,sheath,0
622,Caphorn,3,blade,0
622,Caphorn,3,sheath,0
622,Caphorn,4,blade,0
622,Caphorn,4,internode,0
622,Caphorn,4,sheath,0
622,Caphorn,5,internode,0
622,Caphorn,6,internode,0
623,Caphorn,1,blade,0
623,Caphorn,1,sheath,0
623,Caphorn,2,blade,0
623,Caphorn,2,sheath,0
623,Caphorn,3,blade,0
623,Caphorn,3,sheath,0
623,Caphorn,4,blade,0
623,Caphorn,4,internode,0
623,Caphorn,4,sheath,0
623,Caphorn,5,internode,0
623,Caphorn,6,internode,0
624,Caphorn,1,blade,0
624,Caphorn,1,sheath,0
624,Caphorn,2,blade,0
624,Caphorn,2,sheath,0
624,Caphorn,3,blade,0
624,Caphorn,3,sheath,0
624,Caphorn,4,blade,0
624,Caphorn,4,internode,0
624,Caphorn,4,sheath,0
624,Caphorn,5,internode,0
624,Caphorn,6,internode,0
625,Caphorn,1,blade,0
625,Caphorn,1,sheath,0
625,Caphorn,2,blade,0
625,Caphorn,2,sheath,0
625,Caphorn,3,blade,0
625,Caphorn,3,sheath,0
625,Caphorn,4,blade,0
625,Caphorn,4,internode,0
625,Caphorn,4,sheath,0
625,Caphorn,5,internode,0
625,Caphorn,6,internode,0
626,Caphorn,1,blade,0
626,Caphorn,1,sheath,0
626,Caphorn,2,blade,0
626,Caphorn,2,sheath,0
626,Caphorn,3,blade,0
626,Caphorn,3,sheath,0
626,Caphorn,4,blade,0
626,Caphorn,4,internode,0
626,Caphorn,4,sheath,0
626,Caphorn,5,internode,0
626,Caphorn,6,internode,0
627,Caphorn,1,blade,0
627,Caphorn,1,sheath,0
627,Caphorn,2,blade,0
627,Caphorn,2,sheath,0
627,Caphorn,3,blade,0
627,Caphorn,3,sheath,0
627,Caphorn,4,blade,0
627,Caphorn,4,internode,0
627,Caphorn,4,sheath,0
627,Caphorn,5,internode,0
627,Caphorn,6,internode,0
628,Caphorn,1,blade,0
628,Caphorn,1,sheath,0
628,Caphorn,2,blade,0
628,Caphorn,2,sheath,0
628,Caphorn,3,blade,0
628,Caphorn,3,sheath,0
628,Caphorn,4,blade,0
628,Caphorn,4,internode,0
628,Caphorn,4,sheath,0
628,Caphorn,5,internode,0
628,Caphorn,6,internode,0
629,Caphorn,1,blade,0.011908449
629,Caphorn,1,sheath,0.004855355
629,Caphorn,2,blade,0.017198719
629,Caphorn,2,sheath,0.002165976
629,Caphorn,3,blade,0.048405249
629,Caphorn,3,sheath,0.00612734
629,Caphorn,4,blade,0.151492197
629,Caphorn,4,internode,0.011737101
629,Caphorn,4,sheath,0.03116017
629,Caphorn,5,internode,0.039086207
629,Caphorn,6,internode,0.14268521
630,Caphorn,1,blade,0.011908449
630,Caphorn,1,sheath,0.004855355
630,Caphorn,2,blade,0.017198719
630,Caphorn,2,sheath,0.002165976
630,Caphorn,3,blade,0.048405249
630,Caphorn,3,sheath,0.00612734
630,Caphorn,4,blade,0.151492197
630,Caphorn,4,internode,0.011737101
630,Caphorn,4,sheath,0.03116017
630,Caphorn,5,internode,0.039086207
630,Caphorn,6,internode,0.14268521
631,Caphorn,1,blade,0.011908449
631,Caphorn,1,sheath,0.004855355
631,Caphorn,2,blade,0.017198719
631,Caphorn,2,sheath,0.002165976
631,Caphorn,3,blade,0.048405249
631,Caphorn,3,sheath,0.00612734
631,Caphorn,4,blade,0.151492197
631,Caphorn,4,internode,0.011737101
631,Caphorn,4,sheath,0.03116017
631,Caphorn,5,internode,0.039086207
631,Caphorn,6,internode,0.14268521
632,Caphorn,1,blade,0.011908449
632,Caphorn,1,sheath,0.004855355
632,Caphorn,2,blade,0.017198719
632,Caphorn,2,sheath,0.002165976
632,Caphorn,3,blade,0.048405249
632,Caphorn,3,sheath,0.00612734
632,Caphorn,4,blade,0.151492197
632,Caphorn,4,internode,0.011737101
632,Caphorn,4,sheath,0.03116017
632,Caphorn,5,internode,0.039086207
632,Caphorn,6,internode,0.14268521
633,Caphorn,1,blade,0.011908449
633,Caphorn,1,sheath,0.004855355
633,Caphorn,2,blade,0.017198719
633,Caphorn,2,sheath,0.002165976
633,Caphorn,3,blade,0.048405249
633,Caphorn,3,sheath,0.00612734
633,Caphorn,4,blade,0.151492197
633,Caphorn,4,internode,0.011737101
633,Caphorn,4,sheath,0.03116017
633,Caphorn,5,internode,0.039086207
633,Caphorn,6,internode,0.14268521
634,Caphorn,1,blade,0.011908449
634,Caphorn,1,sheath,0.004855355
634,Caphorn,2,blade,0.017198719
634,Caphorn,2,sheath,0.002165976
634,Caphorn,3,blade,0.048405249
634,Caphorn,3,sheath,0.00612734
634,Caphorn,4,blade,0.151492197
634,Caphorn,4,internode,0.011737101
634,Caphorn,4,sheath,0.03116017
634,Caphorn,5,internode,0.039086207
634,Caphorn,6,internode,0.14268521
635,Caphorn,1,blade,0.011908449
635,Caphorn,1,sheath,0.004855355
635,Caphorn,2,blade,0.017198719
635,Caphorn,2,sheath,0.002165976
635,Caphorn,3,blade,0.048405249
635,Caphorn,3,sheath,0.00612734
635,Caphorn,4,blade,0.151492197
635,Caphorn,4,internode,0.011737101
635,Caphorn,4,sheath,0.03116017
635,Caphorn,5,internode,0.039086207
635,Caphorn,6,internode,0.14268521
636,Caphorn,1,blade,0.011908449
636,Caphorn,1,sheath,0.004855355
636,Caphorn,2,blade,0.017198719
636,Caphorn,2,sheath,0.002165976
636,Caphorn,3,blade,0.048405249
636,Caphorn,3,sheath,0.00612734
636,Caphorn,4,blade,0.151492197
636,Caphorn,4,internode,0.011737101
636,Caphorn,4,sheath,0.03116017
636,Caphorn,5,internode,0.039086207
636,Caphorn,6,internode,0.14268521
637,Caphorn,1,blade,0.011908449
637,Caphorn,1,sheath,0.004855355
637,Caphorn,2,blade,0.017198719
637,Caphorn,2,sheath,0.002165976
637,Caphorn,3,blade,0.048405249
637,Caphorn,3,sheath,0.00612734
637,Caphorn,4,blade,0.151492197
637,Caphorn,4,internode,0.011737101
637,Caphorn,4,sheath,0.03116017
637,Caphorn,5,internode,0.039086207
637,Caphorn,6,internode,0.14268521
638,Caphorn,1,blade,0.011908449
638,Caphorn,1,sheath,0.004855355
638,Caphorn,2,blade,0.017198719
638,Caphorn,2,sheath,0.002165976
638,Caphorn,3,blade,0.048405249
638,Caphorn,3,sheath,0.00612734
638,Caphorn,4,blade,0.151492197
638,Caphorn,4,internode,0.011737101
638,Caphorn,4,sheath,0.03116017
638,Caphorn,5,internode,0.039086207
638,Caphorn,6,internode,0.14268521
639,Caphorn,1,blade,0.011908449
639,Caphorn,1,sheath,0.004855355
639,Caphorn,2,blade,0.017198719
639,Caphorn,2,sheath,0.002165976
639,Caphorn,3,blade,0.048405249
639,Caphorn,3,sheath,0.00612734
639,Caphorn,4,blade,0.151492197
639,Caphorn,4,internode,0.011737101
639,Caphorn,4,sheath,0.03116017
639,Caphorn,5,internode,0.039086207
639,Caphorn,6,internode,0.14268521
640,Caphorn,1,blade,0.011908449
640,Caphorn,1,sheath,0.004855355
640,Caphorn,2,blade,0.017198719
640,Caphorn,2,sheath,0.002165976
640,Caphorn,3,blade,0.048405249
640,Caphorn,3,sheath,0.00612734
640,Caphorn,4,blade,0.151492197
640,Caphorn,4,internode,0.011737101
640,Caphorn,4,sheath,0.03116017
640,Caphorn,5,internode,0.039086207
640,Caphorn,6,internode,0.14268521
641,Caphorn,1,blade,0.011908449
641,Caphorn,1,sheath,0.004855355
641,Caphorn,2,blade,0.017198719
641,Caphorn,2,sheath,0.002165976
641,Caphorn,3,blade,0.048405249
641,Caphorn,3,sheath,0.00612734
641,Caphorn,4,blade,0.151492197
641,Caphorn,4,internode,0.011737101
641,Caphorn,4,sheath,0.03116017
641,Caphorn,5,internode,0.039086207
641,Caphorn,6,internode,0.14268521
642,Caphorn,1,blade,0.011908449
642,Caphorn,1,sheath,0.004855355
642,Caphorn,2,blade,0.017198719
642,Caphorn,2,sheath,0.002165976
642,Caphorn,3,blade,0.048405249
642,Caphorn,3,sheath,0.00612734
642,Caphorn,4,blade,0.151492197
642,Caphorn,4,internode,0.011737101
642,Caphorn,4,sheath,0.03116017
642,Caphorn,5,internode,0.039086207
642,Caphorn,6,internode,0.14268521
643,Caphorn,1,blade,0.011908449
643,Caphorn,1,sheath,0.004855355
643,Caphorn,2,blade,0.017198719
643,Caphorn,2,sheath,0.002165976
643,Caphorn,3,blade,0.048405249
643,Caphorn,3,sheath,0.00612734
643,Caphorn,4,blade,0.151492197
643,Caphorn,4,internode,0.011737101
643,Caphorn,4,sheath,0.03116017
643,Caphorn,5,internode,0.039086207
643,Caphorn,6,internode,0.14268521
644,Caphorn,1,blade,0
644,Caphorn,1,sheath,0
644,Caphorn,2,blade,0
644,Caphorn,2,sheath,0
644,Caphorn,3,blade,0
644,Caphorn,3,sheath,0
644,Caphorn,4,blade,0
644,Caphorn,4,internode,0
644,Caphorn,4,sheath,0
644,Caphorn,5,internode,0
644,Caphorn,6,internode,0
645,Caphorn,1,blade,0
645,Caphorn,1,sheath,0
645,Caphorn,2,blade,0
645,Caphorn,2,sheath,0
645,Caphorn,3,blade,0
645,Caphorn,3,sheath,0
645,Caphorn,4,blade,0
645,Caphorn,4,internode,0
645,Caphorn,4,sheath,0
645,Caphorn,5,internode,0
645,Caphorn,6,internode,0
646,Caphorn,1,blade,0
646,Caphorn,1,sheath,0
646,Caphorn,2,blade,0
646,Caphorn,2,sheath,0
646,Caphorn,3,blade,0
646,Caphorn,3,sheath,0
646,Caphorn,4,blade,0
646,Caphorn,4,internode,0
646,Caphorn,4,sheath,0
646,Caphorn,5,internode,0
646,Caphorn,6,internode,0
647,Caphorn,1,blade,0
647,Caphorn,1,sheath,0
647,Caphorn,2,blade,0
647,Caphorn,2,sheath,0
647,Caphorn,3,blade,0
647,Caphorn,3,sheath,0
647,Caphorn,4,blade,0
647,Caphorn,4,internode,0
647,Caphorn,4,sheath,0
647,Caphorn,5,internode,0
647,Caphorn,6,internode,0
648,Caphorn,1,blade,0
648,Caphorn,1,sheath,0
648,Caphorn,2,blade,0
648,Caphorn,2,sheath,0
648,Caphorn,3,blade,0
648,Caphorn,3,sheath,0
648,Caphorn,4,blade,0
648,Caphorn,4,internode,0
648,Caphorn,4,sheath,0
648,Caphorn,5,internode,0
648,Caphorn,6,internode,0
649,Caphorn,1,blade,0
649,Caphorn,1,sheath,0
649,Caphorn,2,blade,0
649,Caphorn,2,sheath,0
649,Caphorn,3,blade,0
649,Caphorn,3,sheath,0
649,Caphorn,4,blade,0
649,Caphorn,4,internode,0
649,Caphorn,4,sheath,0
649,Caphorn,5,internode,0
649,Caphorn,6,internode,0
650,Caphorn,1,blade,0
650,Caphorn,1,sheath,0
650,Caphorn,2,blade,0
650,Caphorn,2,sheath,0
650,Caphorn,3,blade,0
650,Caphorn,3,sheath,0
650,Caphorn,4,blade,0
650,Caphorn,4,internode,0
650,Caphorn,4,sheath,0
650,Caphorn,5,internode,0
650,Caphorn,6,internode,0
651,Caphorn,1,blade,0
651,Caphorn,1,sheath,0
651,Caphorn,2,blade,0
651,Caphorn,2,sheath,0
651,Caphorn,3,blade,0
651,Caphorn,3,sheath,0
651,Caphorn,4,blade,0
651,Caphorn,4,internode,0
651,Caphorn,4,sheath,0
651,Caphorn,5,internode,0
651,Caphorn,6,internode,0
652,Caphorn,1,blade,0
652,Caphorn,1,sheath,0
652,Caphorn,2,blade,0
652,Caphorn,2,sheath,0
652,Caphorn,3,blade,0
652,Caphorn,3,sheath,0
652,Caphorn,4,blade,0
652,Caphorn,4,internode,0
652,Caphorn,4,sheath,0
652,Caphorn,5,internode,0
652,Caphorn,6,internode,0
653,Caphorn,1,blade,0.011908449
653,Caphorn,1,sheath,0.004855355
653,Caphorn,2,blade,0.017198719
653,Caphorn,2,sheath,0.002165976
653,Caphorn,3,blade,0.048405249
653,Caphorn,3,sheath,0.00612734
653,Caphorn,4,blade,0.151492197
653,Caphorn,4,internode,0.011737101
653,Caphorn,4,sheath,0.03116017
653,Caphorn,5,internode,0.039086207
653,Caphorn,6,internode,0.14268521
