"t","hour","air_temperature","PARi","soil_temperature","DOY","humidity","ambient_CO2","Wind"
168,12,6.96086132885618,319.929844036423,5.80369880205089,354,0.75,360,2.2
169,13,7.31628469793283,312.631431599901,6.0977365520667,354,0.75,360,2.2
170,14,7.41138338106914,250.371278495766,6.28663535865208,354,0.75,360,2.2
171,15,7.25622636439409,153.832880316133,6.4056528138142,354,0.75,360,2.2
172,16,6.83388841173033,44.373973466784,6.26447771350745,354,0.75,360,2.2
173,17,6.52593475186061,6.28510808885106,6.04263903490958,354,0.75,360,2.2
174,18,6.19014792008527,3.53523782683822,5.79592866099865,354,0.75,360,2.2
175,19,5.99177729290048,0,5.5400913406211,354,0.75,360,2.2
176,20,5.92796811121434,0,5.34429011823479,354,0.75,360,2.2
177,21,5.89897843754497,0,5.2496664055851,354,0.75,360,2.2
178,22,5.81902724701184,0,5.18562171547058,354,0.75,360,2.2
179,23,5.71588208313049,0,5.13594445308294,354,0.75,360,2.2
180,24,5.65788204960604,0,5.11525268035621,354,0.75,360,2.2
181,1,5.42456670319302,0,5.0699498135319,355,0.75,360,2.2
182,2,5.38937180849198,0,5.04734970920373,355,0.75,360,2.2
183,3,5.28695083754261,0,5.02864733042776,355,0.75,360,2.2
184,4,5.29301008502481,0,5.02713977237482,355,0.75,360,2.2
185,5,5.16805174789571,0,5.02672641219433,355,0.75,360,2.2
186,6,5.02914258682429,0,5.01701400715973,355,0.75,360,2.2
187,7,5.04455201991341,6.64331402533291,5.08515284882619,355,0.75,360,2.2
188,8,4.96954206127955,10.1537959485159,5.15788936229851,355,0.75,360,2.2
189,9,5.27992469016423,75.7344134172293,5.21084569583739,355,0.75,360,2.2
190,10,5.91570359784706,181.283958954732,5.28588532429974,355,0.75,360,2.2
191,11,6.56862983818193,261.717439837451,5.43453449815406,355,0.75,360,2.2
192,12,6.91813500459446,316.433673721402,5.65526947765317,355,0.75,360,2.2
193,13,7.27791983420914,312.58245378365,5.95880823076218,355,0.75,360,2.2
194,14,7.3750279056468,251.702052038242,6.15770000674806,355,0.75,360,2.2
195,15,7.22065319192169,154.80249863692,6.28508363617852,355,0.75,360,2.2
196,16,6.78837048359498,44.3629855676404,6.17230677617016,355,0.75,360,2.2
197,17,6.45929372120553,3.3755347774664,5.96099682581804,355,0.75,360,2.2
198,18,6.13679972141069,2.86213185394277,5.73205652788037,355,0.75,360,2.2
199,19,5.9518925131246,0,5.50966354182379,355,0.75,360,2.2
200,20,5.88308920977278,0,5.32893731192481,355,0.75,360,2.2
201,21,5.86244362516417,0,5.23788745377832,355,0.75,360,2.2
202,22,5.77663463480472,0,5.17619780714991,355,0.75,360,2.2
203,23,5.68272920372457,0,5.13165353268317,355,0.75,360,2.2
204,24,5.63055108733764,0,5.11485050361213,355,0.75,360,2.2
205,1,5.41286356973672,0,5.07517439949353,356,0.75,360,2.2
206,2,5.37230495234779,0,5.05487535340058,356,0.75,360,2.2
207,3,5.27435519389295,0,5.0317860600666,356,0.75,360,2.2
208,4,5.27698504398408,0,5.02932732584997,356,0.75,360,2.2
209,5,5.15772973274304,0,5.03033862882727,356,0.75,360,2.2
210,6,5.02736096903315,0,5.02766540780422,356,0.75,360,2.2
211,7,5.02676235825668,5.71566381486999,5.07562650493672,356,0.75,360,2.2
212,8,4.93135098071235,7.04515475076929,5.11159036122972,356,0.75,360,2.2
213,9,5.24322993197497,73.3846918377614,5.11642556251832,356,0.75,360,2.2
214,10,5.87775316596888,178.532385835818,5.16499463163673,356,0.75,360,2.2
215,11,6.52936448057881,260.4620196757,5.31359285171201,356,0.75,360,2.2
216,12,6.87735130074877,313.34166025693,5.5157528868318,356,0.75,360,2.2
217,13,7.24122844736917,312.804722584307,5.82867393520553,356,0.75,360,2.2
218,14,7.3403330353002,253.180608346346,6.0372126590344,356,0.75,360,2.2
219,15,7.18664221162309,155.927446449655,6.17259333528721,356,0.75,360,2.2
220,16,6.74514365511684,44.5233757869889,6.08645556933465,356,0.75,360,2.2
221,17,6.39598239464436,0.715366134424996,5.88473446444872,356,0.75,360,2.2
222,18,6.08551200451023,2.20227796106644,5.6719589046795,356,0.75,360,2.2
223,19,5.91294869479368,0,5.48052513959483,356,0.75,360,2.2
224,20,5.83936441334033,0,5.31409843734737,356,0.75,360,2.2
225,21,5.82636726497438,0,5.22625463870458,356,0.75,360,2.2
226,22,5.73494488900859,0,5.1665951451502,356,0.75,360,2.2
227,23,5.64955522149227,0,5.12671535483456,356,0.75,360,2.2
228,24,5.60255877829437,0,5.11338432290584,356,0.75,360,2.2
229,1,5.39952425010589,0,5.07874578345264,357,0.75,360,2.2
230,2,5.35375222331237,0,5.06041513515103,357,0.75,360,2.2
231,3,5.25994143585801,0,5.03322073381484,357,0.75,360,2.2
232,4,5.25920478442046,0,5.02982247219335,357,0.75,360,2.2
233,5,5.14538664089335,0,5.03203431295732,357,0.75,360,2.2
234,6,5.02291040669964,0.925506951753518,5.03571044139027,357,0.75,360,2.2
235,7,5.00727368740161,4.78736123361837,5.06442391114571,357,0.75,360,2.2
236,8,4.89364194853256,4.14004432527159,5.06577263565299,357,0.75,360,2.2
237,9,5.20748327103291,71.3025023611659,5.02586019308917,357,0.75,360,2.2
238,10,5.84113451301666,176.109604916472,5.05035093516856,357,0.75,360,2.2
239,11,6.49144290573882,259.465298631685,5.19937512703691,357,0.75,360,2.2
240,12,6.83852235727048,310.646892497176,5.38500568708698,357,0.75,360,2.2
241,13,7.20623124875805,313.293053816549,5.7071839925875,357,0.75,360,2.2
242,14,7.30731981269981,254.806229510376,5.92503077804676,357,0.75,360,2.2
243,15,7.15421772699638,157.205981424091,6.06804158864005,357,0.75,360,2.2
244,16,6.70421115855751,44.8524968982051,6.00682135015116,357,0.75,360,2.2
245,17,6.33597580806449,0,5.8137686453741,357,0.75,360,2.2
246,18,6.03629580723122,1.55685948962799,5.61559228574032,357,0.75,360,2.2
247,19,5.8749847727193,0.572635553988924,5.4526947850383,357,0.75,360,2.2
248,20,5.79682516699238,0,5.29980447668857,357,0.75,360,2.2
249,21,5.79079804129043,0,5.21480751267463,357,0.75,360,2.2
250,22,5.69399910744381,0,5.15686232218697,357,0.75,360,2.2
251,23,5.61641971999942,0,5.12119069064826,357,0.75,360,2.2
252,24,5.57398367735518,0,5.11092539187733,357,0.75,360,2.2
253,1,5.38465380939045,0,5.08075438687209,358,0.75,360,2.2
254,2,5.3338152070129,0,5.06407058633159,358,0.75,360,2.2
255,3,5.24381899315389,0,5.03304264870458,358,0.75,360,2.2
256,4,5.23977642857908,0,5.02871456307911,358,0.75,360,2.2
257,5,5.1311338953881,0.0102468670359045,5.03190802535706,358,0.75,360,2.2
258,6,5.01592588536383,1.79870411603699,5.04126787641968,358,0.75,360,2.2
259,7,4.98620356748565,3.8610404897251,5.05165254843366,358,0.75,360,2.2
260,8,4.85647190293159,1.43662126573664,5.02050243974212,358,0.75,360,2.2
261,9,5.17272827777127,69.4836961028865,4.93913603128051,358,0.75,360,2.2
262,10,5.80588005383822,174.010435088982,4.94187936276309,358,0.75,360,2.2
263,11,6.45490032715737,258.724270762419,5.09179825383105,358,0.75,360,2.2
264,12,6.80165977313572,308.342501099663,5.26288532791459,358,0.75,360,2.2
265,13,7.17294829901513,314.042301603769,5.59418967083954,358,0.75,360,2.2
266,14,7.27600862071338,256.578173004616,5.82101269493024,358,0.75,360,2.2
267,15,7.12340334900811,158.636358508178,5.97128899771957,358,0.75,360,2.2
268,16,6.66557578439049,45.3477154367959,5.93330200397184,358,0.75,360,2.2
269,17,6.27924888734189,0,5.74801656528812,358,0.75,360,2.2
270,18,5.98916166145013,0.927041312780479,5.562913292595,358,0.75,360,2.2
271,19,5.83803889142167,1.40328871917138,5.42619063611343,358,0.75,360,2.2
272,20,5.75550219809678,0,5.28608583811333,358,0.75,360,2.2
273,21,5.75578373362943,0,5.20358495914028,358,0.75,360,2.2
274,22,5.65383756801499,0,5.14704715264002,358,0.75,360,2.2
275,23,5.58338127031088,0,5.11513940194237,358,0.75,360,2.2
276,24,5.54490310340666,0,5.10754394550861,358,0.75,360,2.2
277,1,5.36835577291181,0,5.08128936731084,359,0.75,360,2.2
278,2,5.31259398061093,0,5.06594182747511,359,0.75,360,2.2
279,3,5.2260957120264,0,5.03134182574165,359,0.75,360,2.2
280,4,5.21880555113882,0,5.02609171081604,359,0.75,360,2.2
281,5,5.11508137023368,0.406116322790012,5.03005306429145,359,0.75,360,2.2
282,6,5.00654055501982,2.57997945792697,5.04445493754582,359,0.75,360,2.2
283,7,4.96366785134318,2.93929240703573,5.03741837432557,359,0.75,360,2.2
284,8,4.81989673672007,0,4.97584480011279,359,0.75,360,2.2
285,9,5.13900761304306,67.924149951447,4.85623903838088,359,0.75,360,2.2
286,10,5.77202141204725,172.229721687594,4.83950516652085,359,0.75,360,2.2
287,11,6.41977110597238,258.235930295746,4.99077930359511,359,0.75,360,2.2
288,12,6.76677460634543,306.421658525272,5.14925005080623,359,0.75,360,2.2
289,13,7.14139900807401,315.047358378074,5.48954317863383,359,0.75,360,2.2
290,14,7.2464191824059,258.49567168733,5.72501760943935,359,0.75,360,2.2
291,15,7.09422199609326,160.216829928066,5.88219708799112,359,0.75,360,2.2
292,16,6.62923988130118,46.0064117004011,5.86579604435066,359,0.75,360,2.2
293,17,6.22577644834113,0,5.68739592300619,359,0.75,360,2.2
294,18,5.94411959307256,0.313969835411431,5.51387867396358,359,0.75,360,2.2
295,19,5.80214840512966,2.16061962258747,5.40103035763458,359,0.75,360,2.2
296,20,5.71542551631378,0,5.27297235576542,359,0.75,360,2.2
297,21,5.7213712167108,0,5.19262519269442,359,0.75,360,2.2
298,22,5.61449972871096,0,5.13719667255348,359,0.75,360,2.2
299,23,5.55049743099052,0,5.10862044124184,359,0.75,360,2.2
300,24,5.51539313934305,0,5.10330920012377,359,0.75,360,2.2
301,1,5.35073212622289,0,5.08043861842394,360,0.75,360,2.2
302,2,5.29018711280243,0,5.06612756777084,360,0.75,360,2.2
303,3,5.2068778552511,0,5.02820700990554,360,0.75,360,2.2
304,4,5.1963961792123,0,5.02204078834759,360,0.75,360,2.2
305,5,5.09733739040141,0.769809099434676,5.02656146551788,360,0.75,360,2.2
306,6,4.99488573011566,3.27298002064939,5.04538730557359,360,0.75,360,2.2
307,7,4.93978068450552,2.02466442509363,5.02182582289089,360,0.75,360,2.2
308,8,4.78397129732785,0,4.93186351582258,360,0.75,360,2.2
309,9,5.10636302812107,66.6197665684501,4.77715469323676,360,0.75,360,2.2
310,10,5.73958942002329,170.762336488517,4.74315372277508,360,0.75,360,2.2
311,11,6.3860887509643,257.997271630334,4.89623548962814,360,0.75,360,2.2
312,12,6.7338773739253,304.877579038239,5.04395888924917,360,0.75,360,2.2
313,13,7.11160213516249,316.303154880284,5.39309766538319,360,0.75,360,2.2
314,14,7.21857056103967,260.557933800766,5.63690558993805,360,0.75,360,2.2
315,15,7.06669589415522,161.945645188106,5.80062830890282,360,0.75,360,2.2
316,16,6.59520535618694,46.825979748792,5.8042026130435,360,0.75,360,2.2
317,17,6.17553319691542,0,5.63182491946515,360,0.75,360,2.2
318,18,5.90117912203326,0,5.46844530575398,360,0.75,360,2.2
319,19,5.76734987778078,2.84714732800969,5.37723112127126,360,0.75,360,2.2
320,20,5.67662441359605,0.0215867095031206,5.26049328976743,360,0.75,360,2.2
321,21,5.68760646045625,0,5.18196575907104,360,0.75,360,2.2
322,22,5.5760242276048,0,5.12735713963576,360,0.75,360,2.2
323,23,5.51782474810128,0,5.10169185177855,360,0.75,360,2.2
324,24,5.48552863206622,0,5.09828935338891,360,0.75,360,2.2
325,1,5.33188331510808,0,5.07828876996255,361,0.75,360,2.2
326,2,5.26669166381772,0,5.06472510506434,361,0.75,360,2.2
327,3,5.18627010213329,0,5.02372567014946,361,0.75,360,2.2
328,4,5.17265079234592,0,5.01664742925184,361,0.75,360,2.2
329,5,5.07800873182752,1.10236306228275,5.02152400228613,361,0.75,360,2.2
330,6,4.98109088955341,3.88130751183981,5.04417911745947,361,0.75,360,2.2
331,7,4.9146545052009,1.1196605991406,5.00497780474361,361,0.75,360,2.2
332,8,4.74874938680402,0,4.88862115837095,361,0.75,360,2.2
333,9,5.07483536469787,65.5664743885775,4.70186799225255,361,0.75,360,2.2
334,10,5.70861411891175,169.603177709916,4.65275053209166,361,0.75,360,2.2
