t,plant,axis,Total_Transpiration,mstruct
789,1,MS,0.00269,1.48815
790,1,MS,0.00331,1.47471
791,1,MS,0.00331,1.47471
792,1,MS,0.00069,1.47177
793,1,MS,0.00069,1.47177
794,1,MS,0.00098,1.46723
795,1,MS,0.00098,1.46723
796,1,MS,0.00106,1.45871
797,1,MS,0.00106,1.45871
798,1,MS,0.00285,1.45105
799,1,MS,0.00285,1.45105
800,1,MS,0.00415,1.44286
801,1,MS,0.00415,1.44286
802,1,MS,0.00610,1.43335
803,1,MS,0.00610,1.43335
804,1,MS,0.00984,1.42516
805,1,MS,0.00984,1.42516
806,1,MS,0.00765,1.42053
807,1,MS,0.00765,1.42053
808,1,MS,0.00713,1.40792
809,1,MS,0.00713,1.40792
810,1,MS,0.00344,1.40123
811,1,MS,0.00344,1.40123
812,1,MS,0.00149,1.39831
813,1,MS,0.00149,1.39831
814,1,MS,0.00089,1.39266
815,1,MS,0.00089,1.39266
816,1,MS,0.00033,1.38821
817,1,MS,0.00033,1.38821
